Year,Name,Award,Level
2013,Hayley Levin,All American,National
2011,Imelda Wistey,All American,National
2011,Imelda Wistey,All American,National
2011,Kelly Bruce,All American,National
2005,Sarah Stayer,All American,National
2005,Sarah Stayer,All American,National
2004,Sarah Stayer,All American,National
2003,Sarah Stayer,All American,National
2019,Sophie Wojdylo,CSCAA Scholar-Athlete,National
2019,Celeste Kaspar,CSCAA Scholar-Athlete,National
2018,Summer White,CSCAA Scholar-Athlete,National
2017,Summer White,CSCAA Scholar-Athlete,National
2016,Tiffany Nguyen,CSCAA Scholar-Athlete,National
2015,Tiffany Nguyen,CSCAA Scholar-Athlete,National
2015,Hayley Levin,CSCAA Scholar-Athlete,National
2014,Tiffany Nguyen,CSCAA Scholar-Athlete,National
2013,Allison Miller,CSCAA Scholar-Athlete,National
2012,Kelly Bruce,CSCAA Scholar-Athlete,National
2011,Kelly Bruce,CSCAA Scholar-Athlete,National
2011,Imelda Wistey,CSCAA Scholar-Athlete,National
2011,Hannah LaFollette,CSCAA Scholar-Athlete,National
2010,Morgan Bober,CSCAA Scholar-Athlete,National
2010,Kelly Bruce,CSCAA Scholar-Athlete,National
2009,Kelly Bruce,CSCAA Scholar-Athlete,National
2009,Morgan Bober,CSCAA Scholar-Athlete,National
2006,Sarah Stayer,CSCAA Scholar-Athlete,National
2005,Sarah Stayer,CSCAA Scholar-Athlete,National
2003,Sarah Stayer,CSCAA Scholar-Athlete,National
2003,Rachel Sellon,CSCAA Scholar-Athlete,National
2012,Kelly Bruce,Academic All-America,National
2025,Sophia Carroll,Academic All-District,Region
2025,Sophie Juethner,Academic All-District,Region
2025,Molly Ryan,Academic All-District,Region
2025,Natasha Zettler,Academic All-District,Region
2024,Sophia Carroll,Academic All-District,Region
2024,Kailee Shermak,Academic All-District,Region
2024,Sarah Lopez,Academic All-District,Region
2024,Ciara Vogler,Academic All-District,Region
2017,Chloe Briney,Academic All-District,Region
2016,Maddy Pesch,Academic All-District,Region
2015,Maddy Pesch,Academic All-District,Region
2014,Maddy Pesch,Academic All-District,Region
2012,Kelly Bruce,Academic All-District,Region
2003,Leah Blasiak,Academic All-District,Region
2022,Sophia Carroll,Outstanding Swimmer,Midwest Conference
2018,Maria Venneri,Outstanding Swimmer,Midwest Conference
2017,Beth Tsuha,Outstanding Swimmer,Midwest Conference
2016,Maria Venneri,Outstanding Swimmer,Midwest Conference
2014,Hayley Levin,Outstanding Swimmer,Midwest Conference
2013,Hayley Levin,Outstanding Swimmer,Midwest Conference
2011,Imelda Wistey,Outstanding Swimmer,Midwest Conference
2008,Meghan McDoniel,Outstanding Swimmer,Midwest Conference
2007,Valerie Stimac,Outstanding Swimmer,Midwest Conference
2003,Rachel Sellon,Outstanding Swimmer,Midwest Conference
2020,Sophie Wojdylo,Outstanding Diver,Midwest Conference
2018,Summer White,Outstanding Diver,Midwest Conference
2017,Summer White,Outstanding Diver,Midwest Conference
2016,Tiffany Nguyen,Outstanding Diver,Midwest Conference
2011,Kelly Bruce,Outstanding Diver,Midwest Conference
2010,Kelly Bruce,Outstanding Diver,Midwest Conference
2009,Kelly Bruce,Outstanding Diver,Midwest Conference
2020,Kendra Howard,Outstanding Newcomer,Midwest Conference
2019,Nikki Schlegel,Outstanding Newcomer,Midwest Conference
2018,Madeline Peak,Outstanding Newcomer,Midwest Conference
2016,Annie Galloway,Elite 20 Award,Midwest Conference
