Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"February 18, 2023 (Saturday)",2:00 PM,Neutral,University of Dubuque,"CARBONDALE, ILL.",,,NCC-Saluki Tournament,"L,5-6",Box ScoreRecap
"February 18, 2023 (Saturday)",5:00 PM,Neutral,North Central College,"CARBONDALE, ILL.",,,NCC-Saluki Tournament,"L,5-16",Box ScoreRecap
"February 19, 2023 (Sunday)",1:00 PM,Neutral,DePauw University,"CARBONDALE, ILL.",,,NCC-Saluki Tournament,"L,10-11",Box ScoreRecap
"March 11, 2023 (Saturday)",1:30 PM,Neutral,North Park University,"MILLINGTON, TEN. USA Stadium Complex, USA #5",,,,"L,5-10",Box ScoreRecap
"March 12, 2023 (Sunday)",10:00 AM,Neutral,Olivet College,"MILLINGTON, TEN./ USA Stadium Complex, USA #5",,,,"W,7-6",Box ScoreRecap
"March 12, 2023 (Sunday)",2:00 PM,Neutral,Illinois Wesleyan University,"MILLINGTON, TEN./ USA Stadium Complex, USA Stadium",,,,"L,1-11",Box ScoreRecap
"March 13, 2023 (Monday)",11:00 AM,Neutral,Eureka College,"MILLINGTON, TEN./ USA Stadium Complex, USA #3",,,,"W,9-1",Box ScoreRecap
"March 15, 2023 (Wednesday)",10:00 AM,Neutral,United States Merchant Marine Academy,"MILLINGTON, TEN./ USA Stadium Complex, USA Stadium",,,,"W,3-2",Box ScoreRecap
"March 16, 2023 (Thursday)",2:30 PM,Neutral,Westfield State University,"MILLINGTON, TEN./ USA Stadium Complex, USA Stadium",,,,"W,9-4",Box ScoreRecap
"March 17, 2023 (Friday)",11:00 AM,Neutral,United States Merchant Marine Academy,"MILLINGTON, TEN./ USA Stadium Complex, USA #2",,,,"L,3-12",Box ScoreRecap
"March 26, 2023 (Sunday)",12:00 PM,Home,Monmouth College,"MAUSTON, WIS./ Woodside Complex",,,,"W,5-410 innings",Box ScoreRecap
"March 26, 2023 (Sunday)",2:30 PM,Home,Monmouth College,"MAUSTON, WIS./ Woodside Complex",,,,"W,12-11",Box ScoreRecap
"April 1, 2023 (Saturday)",2:00 PM,Away,Illinois College,"JACKSONVILLE, ILL.",,,,"L,3-4",Box ScoreRecap
"April 2, 2023 (Sunday)",11:00 AM,Away,Illinois College,"JACKSONVILLE, ILL.",,,,"L,4-16",Box ScoreRecap
"April 2, 2023 (Sunday)",1:30 PM,Away,Illinois College,"JACKSONVILLE, ILL.",,,,"W,11-8",Box ScoreRecap
"April 4, 2023 (Tuesday)",1:00 PM,Home,Marian University,"RIPON, WIS./Francis Field",,,,Postponed,
"April 5, 2023 (Wednesday)",12:00 PM,Home,Lawrence University,"MAUSTON, WIS./ Woodside Complex",,,,"W,11-10",Box ScoreRecap
"April 5, 2023 (Wednesday)",2:30 PM,Home,Lawrence University,"MAUSTON, WIS./ Woodside Complex",,,,"W,28-27 innings",Box ScoreRecap
"April 6, 2023 (Thursday)",1:00 PM,Away,Beloit College,"BELOIT, WIS.",,,,"L,5-9",Box ScoreRecap
"April 8, 2023 (Saturday)",12:00 PM,Home,Beloit College,"RIPON, Wis./Francis Field",,,,"L,3-9",Box ScoreRecap
"April 8, 2023 (Saturday)",2:30 PM,Home,Beloit College,"RIPON, Wis./Francis Field",,,,"W,6-1",Box ScoreRecap
"April 11, 2023 (Tuesday)",2:00 PM,Away,UW-Whitewater,"WHITEWATER, WIS.",,,,"L,1-117 innings",Box ScoreRecap
"April 12, 2023 (Wednesday)",1:00 PM,Away,Lawrence University,"APPLETON, WIS.",,,,"W,12-6",Box ScoreRecap
"April 18, 2023 (Tuesday)",3:00 PM,Away,Carthage College,"KENOSHA, WIS.",,,,"W,9-8",Box ScoreRecap
"April 21, 2023 (Friday)",1:00 PM,Home,University of Chicago,"RIPON, WIS./Francis Field",,,,"W,11-10",Box ScoreRecap
"April 21, 2023 (Friday)",3:30 PM,Home,University of Chicago,"RIPON, WIS./Francis Field",,,,"W,14-27 innings",Box ScoreRecap
"April 22, 2023 (Saturday)",12:00 PM,Home,Knox College,"RIPON, WIS./Francis Field",,,,"W,2-1",Box ScoreRecap
