Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Athletic Student Aid,Women's Team Athletic Student Aid,Coed Team Athletic Student Aid
2003,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2004,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2005,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2006,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2007,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2008,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2009,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2010,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2011,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2012,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2013,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2014,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2015,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2016,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2017,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2018,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2019,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2020,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2021,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
2022,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,0,0,
