Year,Gender,Sport,Total Expense,Operating Expense,Undergrads,School
2003,Men,All Track Combined,21197,21197,500,Beloit College
2003,Men,Baseball,24737,24737,500,Beloit College
2003,Men,Basketball,23282,23282,500,Beloit College
2003,Men,Football,23868,23868,500,Beloit College
2003,Men,Golf,3992,3992,500,Beloit College
2003,Men,Soccer,11040,11040,500,Beloit College
2003,Men,Swimming,4090,4090,500,Beloit College
2003,Men,Tennis,5778,5778,500,Beloit College
2003,Men,Total,117984,117984,500,Beloit College
2003,Men,Volleyball,0,0,500,Beloit College
2003,Women,All Track Combined,19844,19844,763,Beloit College
2003,Women,Basketball,18312,18312,763,Beloit College
2003,Women,Golf,4990,4990,763,Beloit College
2003,Women,Soccer,9570,9570,763,Beloit College
2003,Women,Softball,17316,17316,763,Beloit College
2003,Women,Swimming,12710,12710,763,Beloit College
2003,Women,Tennis,5580,5580,763,Beloit College
2003,Women,Total,102109,102109,763,Beloit College
2003,Women,Volleyball,13787,13787,763,Beloit College
2004,Men,All Track Combined,40097,20884,523,Beloit College
2004,Men,Baseball,45785,18705,523,Beloit College
2004,Men,Basketball,84740,21030,523,Beloit College
2004,Men,Football,197811,23628,523,Beloit College
2004,Men,Golf,13916,5640,523,Beloit College
2004,Men,Soccer,63979,12558,523,Beloit College
2004,Men,Swimming,8592,4592,523,Beloit College
2004,Men,Tennis,16134,3104,523,Beloit College
2004,Men,Total,471054,110141,523,Beloit College
2004,Women,All Track Combined,42367,23154,778,Beloit College
2004,Women,Basketball,54250,18060,778,Beloit College
2004,Women,Golf,11096,2820,778,Beloit College
2004,Women,Soccer,26222,11450,778,Beloit College
2004,Women,Softball,50277,23375,778,Beloit College
2004,Women,Swimming,14496,10496,778,Beloit College
2004,Women,Tennis,25157,4407,778,Beloit College
2004,Women,Total,269747,112742,778,Beloit College
2004,Women,Volleyball,45882,18980,778,Beloit College
2005,Men,All Track Combined,56302,19557,544,Beloit College
2005,Men,Baseball,64776,22830,544,Beloit College
2005,Men,Basketball,97214,24276,544,Beloit College
2005,Men,Football,227232,27636,544,Beloit College
2005,Men,Golf,8339,5950,544,Beloit College
2005,Men,Soccer,69571,14200,544,Beloit College
2005,Men,Swimming,12514,7605,544,Beloit College
2005,Men,Tennis,19571,4878,544,Beloit College
2005,Men,Total,555519,126932,544,Beloit College
2005,Women,All Track Combined,56302,26712,786,Beloit College
2005,Women,Basketball,66587,22913,786,Beloit College
2005,Women,Golf,8339,2975,786,Beloit College
2005,Women,Soccer,16709,9909,786,Beloit College
2005,Women,Softball,66193,26730,786,Beloit College
2005,Women,Swimming,12514,11115,786,Beloit College
2005,Women,Tennis,8998,5446,786,Beloit College
2005,Women,Total,265456,121127,786,Beloit College
2005,Women,Volleyball,29814,15327,786,Beloit College
2006,Men,All Track Combined,59491,22680,532,Beloit College
2006,Men,Baseball,68949,24480,532,Beloit College
2006,Men,Basketball,101415,25755,532,Beloit College
2006,Men,Football,225296,32670,532,Beloit College
2006,Men,Golf,8950,5874,532,Beloit College
2006,Men,Soccer,69656,12766,532,Beloit College
2006,Men,Swimming,12756,7888,532,Beloit College
2006,Men,Tennis,18548,4950,532,Beloit College
2006,Men,Total,565061,137063,532,Beloit College
2006,Women,All Track Combined,59491,27720,761,Beloit College
2006,Women,Basketball,62947,19530,761,Beloit College
2006,Women,Golf,5578,1602,761,Beloit College
2006,Women,Soccer,51404,14925,761,Beloit College
2006,Women,Softball,49511,21008,761,Beloit College
2006,Women,Swimming,12756,11339,761,Beloit College
2006,Women,Tennis,8520,5220,761,Beloit College
2006,Women,Total,294853,117229,761,Beloit College
2006,Women,Volleyball,44646,15885,761,Beloit College
2007,Men,All Track Combined,51979,24299,555,Beloit College
2007,Men,Baseball,71897,26226,555,Beloit College
2007,Men,Basketball,65953,20215,555,Beloit College
2007,Men,Football,214456,37284,555,Beloit College
2007,Men,Golf,15125,7128,555,Beloit College
2007,Men,Soccer,79309,15312,555,Beloit College
2007,Men,Swimming,13364,10208,555,Beloit College
2007,Men,Tennis,11347,4345,555,Beloit College
2007,Men,Total,523430,145017,555,Beloit College
2007,Women,All Track Combined,51979,24334,741,Beloit College
2007,Women,Basketball,75734,25810,741,Beloit College
2007,Women,Golf,14458,3040,741,Beloit College
2007,Women,Soccer,54428,16852,741,Beloit College
2007,Women,Softball,72361,15213,741,Beloit College
2007,Women,Swimming,13364,10208,741,Beloit College
2007,Women,Tennis,6483,3180,741,Beloit College
2007,Women,Total,360224,113704,741,Beloit College
2007,Women,Volleyball,71417,15067,741,Beloit College
2008,Men,All Track Combined,56850,20910,561,Beloit College
2008,Men,Baseball,74799,26928,561,Beloit College
2008,Men,Basketball,66232,19516,561,Beloit College
2008,Men,Football,220661,26244,561,Beloit College
2008,Men,Golf,16264,5256,561,Beloit College
2008,Men,Soccer,84455,14016,561,Beloit College
2008,Men,Swimming,12323,9008,561,Beloit College
2008,Men,Tennis,14337,4743,561,Beloit College
2008,Men,Total,545921,126621,561,Beloit College
2008,Women,All Track Combined,57467,21525,727,Beloit College
