Overall_1,2024-25 Season,,,,,,
Overall_1,,Date,,Opponent,,Score,Location
Overall_1,,11/08/2024,vs,Central Christian College of the Bible,W,78-50,"Grinnell, IA"
Overall_1,,11/09/2024,vs,St. Olaf College,W,69-62,"Grinnell, IA"
Overall_1,,11/13/2024,at,Central College,L,72-74,"Pella, IA"
Overall_1,,11/16/2024,at,Rockford College,W,72-67,"Rockford, IL"
Overall_1,,11/20/2024,vs,Nebraska Wesleyan University,W,73-49,"Grinnell, IA"
Overall_1,,11/22/2024,vs,Maranatha Baptist  University,W,106-35,"Grinnell, IA"
Overall_1,,11/26/2024,vs,Buena Vista University,L,60-77,"Grinnell, IA"
Overall_1,,11/30/2024,vs,Crown College,W,61-35,"Grinnell, IA"
Overall_1,*,12/03/2024,vs,Knox College,W,67-65,"Grinnell, IA"
Overall_1,*,12/07/2024,at,Lawrence University,L,48-54,"Appleton, WI"
Overall_1,*,12/11/2024,at,Cornell College,L,53-54,"Mount Vernon, IA"
Overall_1,,12/13/2024,at,Coe College,L,61-80,"Cedar Rapids, IA"
Overall_1,*,01/04/2025,at,Lake Forest College,W,73-61,"Lake Forest, IL"
Overall_1,*,01/08/2025,vs,Ripon College,W,71-58,"Grinnell, IA"
Overall_1,*,01/11/2025,vs,Lawrence University,L,53-54,"Grinnell, IA"
Overall_1,*,01/14/2025,at,Beloit College,W,70-40,"Beloit, WI"
Overall_1,Overall:,10-6,,,,,
Overall_1,Conf:,4-3,,,,,
Overall_1,Home:,7-2,,,,,
Overall_1,Away:,3-4,,,,,
Overall_2,2023-24 Season,,,,,,
Overall_2,,Date,,Opponent,,Score,Location
Overall_2,,11/11/2023,at,Crown College,W,77-45,"St. Bonifacius, MN"
Overall_2,,11/15/2023,vs,Central College,L,57-62,"Grinnell, IA"
Overall_2,,11/17/2023,vs,Coe College,L,63-73,"Grinnell, IA"
Overall_2,,11/19/2023,vs,Waldorf (Iowa),W,74-70,"Grinnell, IA"
