Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
3/3/2012,vs,Grinnell College,L,5-6,8.0,6,6,2,7,5,2,0,0,0,0,2,0,0,1,0,2.25
3/3/2012,at,Webster,L,1-4,8.0,6,4,2,1,8,0,0,0,0,0,3,0,0,2,0,2.25
3/4/2012,vs,Millikin,L,5-8,8.0,9,8,5,8,3,2,0,1,1,0,2,1,0,3,0,5.63
3/4/2012,at,Webster,L,0-4,8.0,10,4,4,1,5,3,1,0,0,1,0,0,0,4,0,4.5
3/10/2012,at,Westminster (Mo.),W,4-2,7.0,3,2,2,3,7,1,0,0,0,0,0,0,1,4,0,2.57
3/10/2012,at,Westminster (Mo.),L,1-2,6.0,4,2,2,1,5,3,0,0,0,1,2,0,1,5,0,3.0
3/18/2012,vs,Benedictine Univ.,L,6-7,8.0,9,7,1,2,6,4,0,0,0,0,0,0,1,6,0,1.13
3/19/2012,vs,Ramapo,L,1-2,9.1,8,2,1,0,5,2,1,0,0,0,1,0,1,7,0,0.96
3/19/2012,vs,Grinnell College,W,12-10,7.0,8,10,10,4,9,0,1,0,1,1,2,0,2,7,0,12.86
3/20/2012,vs,Univ. of Chicago,L,0-5,6.0,8,5,3,4,8,1,0,0,2,1,3,0,2,8,0,4.5
3/20/2012,vs,Grinnell College,W,11-2,7.0,4,2,0,2,5,0,0,0,0,0,0,0,3,8,0,0.0
3/21/2012,vs,Hope College,W,12-5,9.0,15,5,4,4,3,1,2,0,2,0,0,0,4,8,0,4.0
3/23/2012,vs,Elmhurst College,W,8-1,9.0,4,1,1,3,8,0,0,1,0,0,0,0,5,8,0,1.0
3/24/2012,vs,Amherst College,W,12-11,11.0,16,11,8,1,4,5,2,0,3,0,0,0,6,8,0,6.55
3/28/2012,at,Central College,L,3-8,8.0,10,8,5,3,6,1,0,0,2,0,1,0,6,9,0,5.63
4/7/2012,at,Knox College,W,21-8,7.0,11,8,8,1,5,3,0,0,1,0,4,0,7,9,0,10.29
4/7/2012,at,Knox College,W,9-8,12.0,12,8,6,3,8,3,1,1,2,1,4,0,8,9,0,4.5
4/12/2012,at,Simpson,W,11-9,9.0,9,9,8,5,9,2,1,2,0,0,0,0,9,9,0,8.0
4/17/2012,,Central College,W,3-1,9.0,5,1,1,3,3,0,0,1,0,0,1,0,10,9,0,1.0
4/21/2012,,Illinois College,W,8-4,9.0,5,4,3,0,10,0,0,2,0,0,2,0,11,9,0,3.0
4/21/2012,,Illinois College,W,4-2,9.0,7,2,2,3,9,0,0,0,0,0,0,0,12,9,0,2.0
4/22/2012,at,Illinois College,W,8-7,11.0,16,7,7,3,4,3,0,0,0,0,0,1,13,9,0,5.73
4/22/2012,at,Illinois College,L,3-4,8.0,9,4,3,1,14,4,0,0,1,0,0,0,13,10,0,3.38
4/25/2012,at,Augustana,L,4-11,8.0,19,11,9,2,7,5,0,1,1,0,0,0,13,11,0,10.13
4/28/2012,,Monmouth College,W,10-0,7.0,2,0,0,0,5,0,0,0,0,0,0,0,14,11,0,0.0
4/28/2012,,Monmouth College,W,6-0,9.0,3,0,0,2,4,1,0,0,0,0,0,0,15,11,0,0.0
4/29/2012,vs,Washington U.,L,7-11,9.0,20,11,10,2,3,5,0,0,1,0,1,0,15,12,0,10.0
5/1/2012,,Simpson,W,9-1,9.0,7,1,1,3,5,0,0,0,1,0,1,0,16,12,0,1.0
5/5/2012,at,Monmouth College,L,6-7,8.0,12,7,7,2,10,2,0,1,0,0,1,0,16,13,0,7.88
5/5/2012,at,Monmouth College,L,3-4,8.1,9,4,3,3,8,0,0,1,2,0,2,0,16,14,0,3.24
5/6/2012,,Knox College,W,2-0,9.0,2,0,0,0,6,0,0,0,0,0,3,0,17,14,0,0.0
5/6/2012,,Knox College,L,11-12,9.0,13,12,8,6,5,4,0,0,2,0,2,0,17,15,0,8.0
5/11/2012,,Beloit College,L,3-4,9.0,7,4,3,1,6,2,0,0,0,0,4,0,17,16,0,3.0
5/11/2012,at,Knox College,W,12-0,8.0,6,0,0,2,5,2,0,0,0,0,0,0,18,16,0,0.0
5/12/2012,at,Beloit College,L,6-7,8.2,13,7,7,2,8,3,0,0,0,0,1,1,18,17,0,7.27
Total,,,,227-177,294.4,307,177,136,88,221,64,9,11,22,5,42,3,18,17,0,
