#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
26.0,"Godinsky, Matt 26Godinsky, Matt",0.5,1.0,4-0,2,0,1,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0-0,View Bio
12.0,"Inafuku, Kainoa 12Inafuku, Kainoa",0.377,0.861,15-14,53,14,20,2,0,0,12,22,0.415,7,2,2,0,0.446,3,1,4-6,View Bio
36.0,"Klar, Coby 36Klar, Coby",0.333,0.666,2-2,6,2,2,0,0,0,0,2,0.333,0,0,2,0,0.333,0,0,0-0,View Bio
35.0,"Renfro, Adam 35Renfro, Adam",0.324,0.918,11-11,37,6,12,3,0,1,5,18,0.486,7,0,7,1,0.432,0,1,1-1,View Bio
5.0,"Bell, Walker 5Bell, Walker",0.313,0.857,16-16,64,11,20,6,0,2,18,32,0.5,2,3,6,3,0.357,1,2,2-2,View Bio
13.0,"Mack, Anthony 13Mack, Anthony",0.306,0.774,16-16,62,10,19,6,0,0,13,25,0.403,6,1,9,0,0.371,1,4,3-6,View Bio
3.0,"Kawahara, Yuki 3Kawahara, Yuki",0.3,0.74,11-6,20,5,6,0,0,0,2,6,0.3,2,3,5,0,0.44,0,2,5-5,View Bio
10.0,"Zarcone, Phillip 10Zarcone, Phillip",0.279,0.786,12-12,43,12,12,0,0,2,8,18,0.419,6,0,8,2,0.367,0,4,2-2,View Bio
7.0,"Blumenreich, Matt 7Blumenreich, Matt",0.273,0.65,16-16,55,8,15,1,0,0,12,16,0.291,6,2,4,2,0.359,1,2,1-1,View Bio
6.0,"Davis, Drew 6Davis, Drew",0.268,0.739,15-14,56,13,15,5,0,1,5,23,0.411,4,2,11,0,0.328,2,3,7-7,View Bio
41.0,"Penaflor, Ryan 41Penaflor, Ryan",0.233,0.596,13-12,43,4,10,1,0,0,3,11,0.256,4,3,5,0,0.34,0,1,1-2,View Bio
28.0,"Beecher, Jacob 28Beecher, Jacob",0.222,0.689,6-5,18,5,4,1,1,0,1,7,0.389,2,0,2,0,0.3,0,0,0-0,View Bio
24.0,"Schaeffer, Matt 24Schaeffer, Matt",0.167,0.58,16-16,42,6,7,1,0,0,6,8,0.19,12,4,7,0,0.39,1,3,0-0,View Bio
44.0,"Freese, Eli 44Freese, Eli",0.167,0.417,7-4,12,0,2,0,0,0,2,2,0.167,2,0,2,0,0.25,2,0,0-0,View Bio
22.0,"Nelson, Karl 22Nelson, Karl",0.0,0.0,4-0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
11.0,11  1111,0.0,0.0,1-0,1,0,0,0,0,0,0,0,0.0,0,0,0,1,0.0,0,0,0-0,
8.0,"Westre, Justin 8Westre, Justin",0.0,0.0,2-0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
18.0,"Petritis, Steven 18Petritis, Steven",0.0,0.0,4-0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
2.0,"Sipala, Tyler 2Sipala, Tyler",0.0,0.0,2-0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
25.0,"Tremblay, Colin 25Tremblay, Colin",0.0,1.0,1-0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1.0,0,0,0-0,View Bio
33.0,"Markey, Jackson 33Markey, Jackson",0.0,1.0,3-0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1.0,0,1,0-0,View Bio
,Totals,0.28,0.741,16-16,517,98,145,26,1,6,87,191,0.369,61,21,71,9,0.372,11,24,26-32,
,Opponents,0.25,0.666,16-16,547,71,137,43,1,6,58,200,0.366,29,11,115,10,0.3,3,10,14-19,
