Statistic,High,Opponent
INNINGS PITCHED,9.0,Fontbonne (3/25/2016); Keuka College (3/27/2016); Simpson College (3/31/2016); Washington Uni. (4/2/2016); Washington Uni. (4/3/2016)
RUNS ALLOWED,24.0,Cornell College (5/5/2016)
EARNED RUNS,19.0,Cornell College (5/5/2016)
WALKS ALLOWED,7.0,Central College (4/13/2016); Illinois College (4/23/2016)
STRIKEOUTS,14.0,Westminster College (3/5/2016)
HITS ALLOWED,25.0,Cornell College (5/5/2016)
DOUBLES ALLOWED,6.0,Washington Uni. (4/3/2016)
TRIPLES ALLOWED,2.0,Greenville (3/22/2016)
HOME RUNS ALLOWED,4.0,Washington Uni. (4/3/2016)
WILD PITCHES,3.0,Washington Uni. (4/3/2016)
HIT BATTERS,5.0,Washington Uni. (4/3/2016)
