#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
41.0,"Goldsher, Jay 41Goldsher, Jay",0.0,0.0,0-0,1-0,0,0-0,0,0.1,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,View Bio
13.0,"Mack, Andrew 13Mack, Andrew",2.4,1.13,1-1,4-2,0,0-0,0,15.0,13,6,4,4,17,2,0,1,55,0.236,1,2,0,1,2,View Bio
10.0,"Weirather, Brock 10 Weirather, Brock",2.61,1.03,4-0,5-5,1,1-0,0,38.0,33,13,11,6,25,6,0,2,144,0.229,2,1,1,0,1,View Bio
49.0,"Rick, Thompson 49Rick, Thompson",4.82,1.5,2-0,7-3,0,0-0,2,28.0,37,20,15,5,23,4,1,2,117,0.316,4,0,0,1,1,View Bio
24.0,"Comiskey, Shane 24Comiskey, Shane",5.06,1.37,0-0,6-0,0,0-0,1,5.1,5,4,3,2,4,0,1,1,22,0.227,0,0,0,0,0,View Bio
44.0,"Morsch, Jacob 44 Morsch, Jacob",5.09,1.35,2-1,5-2,0,0-0,1,23.0,25,14,13,6,22,2,0,2,89,0.281,2,0,0,1,1,View Bio
15.0,"Carr, Charles 15 Carr, Charles",6.75,1.54,2-0,6-0,0,0-0,1,9.1,10,9,7,4,12,2,1,1,41,0.244,2,0,0,0,1,View Bio
25.0,"Dudley, Joe 25Dudley, Joe",6.75,2.73,0-0,1-0,0,0-0,0,1.1,1,1,1,2,2,0,0,0,5,0.2,0,1,0,0,0,View Bio
29.0,"LaMotte, Sam 29 LaMotte, Sam",7.4,1.73,1-1,4-4,1,0-0,0,20.2,34,19,17,1,12,5,2,3,96,0.354,1,2,0,0,1,View Bio
35.0,"Chang, Ryan 35 Chang, Ryan",10.61,2.64,0-1,3-1,0,0-0,0,9.1,18,11,11,6,6,3,1,0,44,0.409,0,1,0,0,0,View Bio
32.0,"Shubert, Gabriel 32 Shubert, Gabriel",12.27,2.81,1-0,4-0,0,0-0,0,3.2,8,5,5,1,2,2,0,1,16,0.5,0,2,0,1,1,View Bio
45.0,"Lu, Nate 45 Lu, Nate",16.2,5.0,0-0,1-0,0,0-0,0,1.2,3,3,3,3,2,0,1,0,8,0.375,0,0,0,0,0,View Bio
38.0,"Pine, Ezra 38 Pine, Ezra",17.18,2.19,0-0,3-0,0,0-0,0,3.2,4,7,7,3,3,0,1,0,14,0.286,0,2,0,1,0,View Bio
30.0,"Lubelfeld, Daniel 30 Lubelfeld, Daniel",24.0,3.67,0-1,3-2,0,0-0,0,3.0,7,8,8,4,5,2,0,1,16,0.438,4,2,1,0,0,View Bio
40.0,"Moeller, Ryan 40 Moeller, Ryan",40.5,15.0,0-1,1-0,0,0-0,0,0.2,2,3,3,1,2,0,1,0,4,0.5,1,0,0,0,0,View Bio
,Totals,5.96,1.52,13-6,54-19,2,1,5,163.0,200,123,108,48,137,28,9,14,672,0.298,17,13,2,5,8,
,Opponents,7.32,1.89,6-13,61-19,0,0,2,161.0,226,167,131,78,102,46,4,14,677,0.334,34,45,5,6,17,
