#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
10.0,"Weirather, Brock 10 Weirather, Brock",3.88,1.31,5-1,11-9,1,1-0,0,58.0,70,31,25,6,36,12,0,5,239,0.293,5,1,1,1,2,View Bio
49.0,"Rick, Thompson 49Rick, Thompson",5.95,1.47,2-0,11-4,0,0-0,2,39.1,50,33,26,8,36,7,2,2,163,0.307,4,1,0,2,1,View Bio
44.0,"Morsch, Jacob 44 Morsch, Jacob",6.53,1.6,2-2,11-3,0,0-0,1,40.0,47,33,29,17,32,5,1,5,161,0.292,2,6,0,2,2,View Bio
19.0,"Baumann, Christian 19Baumann, Christian",0.0,1.0,0-0,1-0,0,0-0,0,1.0,0,0,0,1,1,0,0,0,3,0.0,0,0,1,0,0,View Bio
4.0,"Gampell, Carson 4 Gampell, Carson",0.0,0.0,0-0,1-0,0,0-0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,View Bio
13.0,"Mack, Andrew 13Mack, Andrew",2.25,1.17,2-1,8-4,0,0-0,0,24.0,21,9,6,7,27,3,0,1,85,0.247,1,2,1,2,3,View Bio
45.0,"Lu, Nate 45 Lu, Nate",5.4,1.8,1-0,6-0,0,0-0,1,10.0,11,6,6,7,11,0,1,1,36,0.306,5,1,0,1,1,View Bio
15.0,"Carr, Charles 15 Carr, Charles",7.41,1.47,2-2,11-1,0,0-0,1,17.0,19,17,14,6,20,5,3,1,72,0.264,3,5,0,0,1,View Bio
29.0,"LaMotte, Sam 29 LaMotte, Sam",7.54,1.84,2-2,8-8,1,0-0,0,37.0,66,34,31,2,21,12,2,3,173,0.382,2,5,2,1,3,View Bio
42.0,"Slattery, Michael 42Slattery, Michael",8.25,1.33,0-1,6-0,0,0-0,0,12.0,13,11,11,3,5,2,1,0,46,0.283,2,1,0,2,0,View Bio
32.0,"Shubert, Gabriel 32 Shubert, Gabriel",9.69,2.23,1-0,10-0,0,0-0,0,13.0,25,14,14,4,8,5,2,2,58,0.431,1,4,0,3,1,View Bio
35.0,"Chang, Ryan 35 Chang, Ryan",11.7,2.6,0-4,9-3,0,0-0,0,20.0,42,32,26,10,15,7,2,0,102,0.412,1,5,0,0,0,View Bio
41.0,"Goldsher, Jay 41Goldsher, Jay",12.27,2.45,0-1,5-0,0,0-0,0,3.2,6,5,5,3,1,1,1,0,15,0.4,0,4,0,0,0,View Bio
38.0,"Pine, Ezra 38 Pine, Ezra",14.09,2.09,0-1,6-1,0,0-0,0,7.2,10,13,12,6,7,0,1,2,30,0.333,1,4,0,2,0,View Bio
24.0,"Comiskey, Shane 24Comiskey, Shane",14.09,3.0,0-1,10-0,0,0-0,2,7.2,16,19,12,7,5,2,1,3,41,0.39,1,1,0,0,0,View Bio
25.0,"Dudley, Joe 25Dudley, Joe",14.29,2.65,0-2,4-0,0,0-0,0,5.2,9,10,9,6,3,3,0,0,28,0.321,1,3,0,0,0,View Bio
30.0,"Lubelfeld, Daniel 30 Lubelfeld, Daniel",16.46,2.93,0-3,7-6,0,0-0,0,13.2,29,25,25,11,11,5,1,2,64,0.453,5,4,1,2,0,View Bio
40.0,"Moeller, Ryan 40 Moeller, Ryan",18.47,3.0,0-1,5-0,0,0-0,0,6.1,13,13,13,6,6,4,1,0,28,0.464,2,2,0,2,1,View Bio
,Totals,7.52,1.76,17-22,130-39,2,1,7,316.0,447,305,264,110,245,73,19,27,1344,0.333,36,49,6,20,15,
,Opponents,5.88,1.63,21-17,115-39,5,5,5,320.0,390,263,209,131,239,80,8,26,1292,0.302,49,66,7,14,28,
