Statistic,High,Opponent
AT BATS,43,Illinois College (4/17/2021); Monmouth (Ill.) (5/2/2021)
RUNS SCORED,16,Monmouth (Ill.) (4/18/2021)
HITS,18,Knox College (4/25/2021)
RBIS,15,Monmouth (Ill.) (4/18/2021)
DOUBLES,5,Monmouth (Ill.) (4/18/2021)
TRIPLES,1,Knox College (4/25/2021); Knox College (4/25/2021); Cornell College (5/15/2021)
HOME RUNS,3,Cornell College (5/15/2021)
WALKS,10,Cornell College (5/13/2021)
STRIKEOUTS,10,Cornell College (5/5/2021)
SAC HITS,5,Knox College (5/16/2021)
SAC FLIES,2,Monmouth (Ill.) (4/18/2021); Illinois College (5/9/2021)
STOLEN BASES,6,Monmouth (Ill.) (4/18/2021)
HIT BY PITCH,5,Knox College (4/24/2021)
CAUGHT STEALING,2,Cornell College (5/11/2021); Illinois College (4/17/2021)
HIT INTO DP,3,Illinois College (4/17/2021)
