Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
3/11/2023,at,Westminster (Mo.),W,9-4,26,9,7,5,3,1,1,4,0,1,0,2,0,0,0,3,15,5,0,0.269
3/12/2023,at,Westminster (Mo.),L,0-1,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,24,10,1,0.033
3/12/2023,at,Westminster (Mo.),W,11-8,33,11,8,8,1,0,2,11,0,1,1,3,0,0,0,10,27,13,1,0.242
3/18/2023,vs,Edgewood,L,4-6,29,4,3,3,0,0,0,9,0,2,0,1,0,1,0,8,24,7,2,0.103
3/18/2023,vs,Spalding,L,4-9,33,4,7,3,1,1,0,4,0,1,0,1,0,0,1,8,27,14,2,0.212
3/19/2023,vs,Carroll (Wis.),L,4-5,38,4,13,4,2,0,0,4,0,1,3,1,0,0,0,7,27,10,1,0.342
3/19/2023,vs,Wis.-Whitewater,L,4-14,28,4,7,3,4,0,1,1,0,1,0,1,0,0,1,5,18,3,1,0.25
3/20/2023,vs,Wis.-Platteville,W,5-0,33,5,7,5,1,1,0,9,0,1,1,0,0,0,0,8,27,10,0,0.212
3/21/2023,vs,Wis.-Whitewater,L,1-5,34,1,5,1,1,0,0,1,0,0,0,3,0,0,1,7,24,9,2,0.147
3/22/2023,vs,Hendrix,L,3-9,34,3,7,2,2,0,0,5,0,3,0,3,0,1,1,10,27,12,1,0.206
3/22/2023,vs,Wis.-Whitewater,L,2-13,24,2,4,2,3,0,0,1,0,0,0,0,0,0,1,10,18,5,0,0.167
3/27/2023,at,Beloit,L,5-7,36,5,11,4,4,0,0,2,0,3,0,1,0,0,1,10,24,8,1,0.306
3/28/2023,at,Beloit,L,1-11,32,1,10,1,1,0,0,3,0,1,1,0,0,0,1,3,23,9,1,0.313
3/28/2023,at,Beloit,L,6-7,36,6,10,5,2,0,0,3,0,3,0,2,0,1,1,2,24,10,3,0.278
3/30/2023,at,Cornell College,W,6-3,32,6,11,5,1,0,0,3,0,1,1,1,2,2,2,5,27,13,0,0.344
4/1/2023,,Lawrence,W,14-10,38,14,13,14,2,0,1,6,0,0,0,4,0,0,0,5,27,6,0,0.342
4/2/2023,,Lawrence University,W,4-0,29,4,6,4,1,0,1,2,0,0,0,0,0,0,0,15,27,12,1,0.207
4/2/2023,,Lawrence University,L,17-18,43,17,14,14,3,1,1,5,0,2,0,4,1,1,0,14,27,8,3,0.326
4/7/2023,at,Monmouth (Ill.),W,3-2,35,3,10,3,2,0,1,3,0,1,0,0,0,0,0,6,27,16,2,0.286
4/8/2023,at,Monmouth (Ill.),W,12-7,39,12,11,11,2,0,4,7,0,2,0,1,0,0,0,10,27,13,2,0.282
4/8/2023,at,Monmouth (Ill.),W,11-1,33,11,9,9,0,0,3,10,0,7,1,3,0,0,0,10,24,7,1,0.273
4/13/2023,at,Cornell College,L,2-11,33,2,9,1,2,0,1,3,0,0,0,0,0,0,2,6,24,11,1,0.273
4/13/2023,,Cornell College,L,3-7,31,3,6,3,2,0,2,0,0,0,1,0,0,0,0,11,27,18,2,0.194
4/17/2023,,Chicago,L,14-21,42,14,15,14,1,1,4,4,0,1,0,1,0,0,0,9,27,11,3,0.357
4/17/2023,,Chicago,W,18-14,39,18,17,17,4,0,3,7,0,1,1,2,0,2,0,6,27,7,7,0.436
4/22/2023,at,Illinois Col.,W,7-5,38,7,11,7,5,0,1,5,1,0,0,2,0,0,0,5,27,13,0,0.289
4/22/2023,at,Illinois Col.,W,9-2,38,9,10,9,3,0,3,4,0,1,1,2,0,1,0,7,27,9,0,0.263
4/23/2023,at,Illinois Col.,L,1-8,34,1,7,1,2,1,0,4,0,3,0,1,0,0,0,8,24,11,2,0.206
4/25/2023,,Neb. Wesleyan,L,8-9,28,8,10,7,1,0,3,7,0,3,0,0,0,1,0,5,21,9,3,0.357
4/25/2023,,Neb. Wesleyan,W,13-12,39,13,14,11,1,0,2,10,1,1,1,2,0,0,0,4,27,10,2,0.359
4/29/2023,,Ripon,W,11-8,37,11,14,10,3,1,3,2,0,0,0,1,0,1,0,6,27,18,0,0.378
4/30/2023,,Ripon,L,7-22,28,7,9,7,2,0,2,6,0,0,0,1,0,0,0,7,21,6,2,0.321
4/30/2023,,Ripon,W,9-5,34,9,11,9,1,1,3,3,0,1,0,1,0,0,0,7,27,8,1,0.324
5/2/2023,,Chicago,L,7-12,34,7,8,7,0,0,4,5,0,0,0,1,0,1,0,8,27,9,2,0.235
5/6/2023,,Knox,W,5-2,33,5,11,4,5,0,0,1,0,2,1,1,0,0,0,5,27,7,1,0.333
5/6/2023,,Knox,W,9-4,38,9,16,9,3,1,1,3,0,3,1,0,0,0,0,3,27,5,2,0.421
5/7/2023,at,Knox,W,21-11,46,21,21,21,2,0,2,11,0,5,1,2,0,1,0,8,27,6,4,0.457
5/12/2023,at,Beloit,L,2-17,25,2,4,1,0,0,1,0,0,0,0,1,0,0,0,4,18,3,3,0.16
5/12/2023,vs,Ripon,L,1-5,32,1,5,1,1,0,0,1,0,0,0,0,0,0,1,7,27,7,0,0.156
Total,,,,273-315,1324,273,372,245,74,9,50,169,2,52,15,49,3,13,13,281,974,368,60,
