#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
2.0,"Barker-Fost, Harry 2Barker-Fost, Harry",0.5,1.25,3-0,2,2,1,0,0,0,3,1,0.5,2,0,0,0,0.75,0,0,0-0,View Bio
31.0,"Rosen, Matthew 31Rosen, Matthew",0.5,1.0,1-0,2,0,1,0,0,0,1,1,0.5,0,0,1,0,0.5,0,0,0-0,View Bio
46.0,"Porter, Luke 46Porter, Luke",0.424,1.437,24-23,99,25,42,14,0,13,36,95,0.96,10,1,18,0,0.477,1,0,1-2,View Bio
9.0,"McCain, Mac 9McCain, Mac",0.374,1.096,24-24,91,23,34,10,1,4,14,58,0.637,12,4,12,1,0.459,2,0,1-2,View Bio
5.0,"Philpott, Cole 5Philpott, Cole",0.338,1.074,22-21,68,25,23,4,0,3,17,36,0.529,24,7,16,0,0.545,0,0,4-5,View Bio
24.0,"Borberg, Evan 24Borberg, Evan",0.333,0.773,15-5,21,4,7,0,0,0,4,7,0.333,4,0,3,0,0.44,0,0,2-2,View Bio
20.0,"McCurdy, Nathan 20McCurdy, Nathan",0.333,0.775,5-4,15,4,5,1,0,0,2,6,0.4,0,1,3,0,0.375,0,0,1-1,View Bio
4.0,"Fournier, Josh 4Fournier, Josh",0.323,0.865,23-23,93,21,30,2,0,5,17,47,0.505,3,3,17,1,0.36,1,1,5-6,View Bio
25.0,"Brown, Ian 25Brown, Ian",0.317,1.014,19-16,60,13,19,4,1,4,14,37,0.617,6,2,14,0,0.397,0,0,0-0,View Bio
12.0,"Tashjian, Sean 12Tashjian, Sean",0.309,0.938,24-24,94,20,29,3,2,4,23,48,0.511,18,3,17,2,0.427,2,0,3-3,View Bio
30.0,"Ruden, Nikolas 30Ruden, Nikolas",0.294,0.839,17-16,68,18,20,1,1,3,16,32,0.471,5,3,14,0,0.368,0,0,3-5,View Bio
33.0,"Hadding, Lucas 33Hadding, Lucas",0.279,0.659,15-11,43,10,12,2,0,0,9,14,0.326,2,2,5,0,0.333,1,1,7-8,View Bio
13.0,"Crawford, Ethan 13Crawford, Ethan",0.271,0.815,22-21,85,14,23,8,0,3,17,40,0.471,9,1,21,1,0.344,1,0,1-3,View Bio
27.0,"Richardson, Sean 27Richardson, Sean",0.25,0.602,10-9,40,8,10,2,0,0,6,12,0.3,3,0,7,1,0.302,0,0,5-5,View Bio
45.0,"L'Esperance, Nate 45L'Esperance, Nate",0.25,0.68,10-9,36,6,9,1,1,1,7,15,0.417,1,0,9,0,0.263,1,0,2-2,View Bio
11.0,"Flaherty, Michael 11Flaherty, Michael",0.217,0.648,10-7,23,8,5,1,0,0,3,6,0.261,3,4,11,1,0.387,1,0,2-2,View Bio
10.0,"Kelly, Ben 10Kelly, Ben",0.0,0.0,8-0,7,0,0,0,0,0,0,0,0.0,0,0,2,0,0.0,0,1,0-0,View Bio
26.0,"Watts, Kelton 26Watts, Kelton",0.0,0.0,3-3,7,1,0,0,0,0,0,0,0.0,0,0,3,0,0.0,0,0,0-0,View Bio
22.0,"Stoll, Jack 22Stoll, Jack",0.0,0.0,2-0,2,0,0,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0-0,View Bio
29.0,"Schwartz, Ben 29Schwartz, Ben",0.0,0.0,4-0,2,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
,Totals,0.315,0.933,24-24,858,202,270,53,6,40,189,455,0.53,102,31,176,7,0.403,10,3,37-46,
,Opponents,0.284,0.86,24-24,841,198,239,38,10,31,185,390,0.464,130,31,203,8,0.396,7,11,43-51,
