Statistic,High,Player,Opponent
INNINGS PITCHED,8.0,M. Nakamoto,Ripon (5/12/2023)
RUNS ALLOWED,12.0,R. Jungers; Daniel Shaul,Chicago (4/17/2023); Ripon (4/30/2023)
EARNED RUNS,8.0,Danny Pocklington,Wis.-Whitewater (3/19/2023)
WALKS ALLOWED,5.0,Ben Cerrato; Daniel Shaul; Evan Borberg; Carter Shedd; S. Lane,Hendrix (3/22/2023); Ripon (4/30/2023); Westminster (Mo.) (3/12/2023); Wis.-Whitewater (3/21/2023); Cornell College (4/13/2023)
STRIKEOUTS,10.0,M. Nakamoto,Knox (5/6/2023)
HITS ALLOWED,8.0,Ryan Jungers; R. Jungers; Daniel Shaul; M. Nakamoto; Danny Pocklington,Spalding (3/18/2023); Chicago (4/17/2023); Ripon (4/30/2023); Ripon (5/12/2023); Wis.-Whitewater (3/19/2023)
DOUBLES ALLOWED,3.0,C. Shedd; Daniel Shaul,Neb. Wesleyan (4/25/2023); Ripon (4/30/2023)
TRIPLES ALLOWED,2.0,R. Jungers,Chicago (4/17/2023)
HOME RUNS ALLOWED,3.0,Evan Borberg; Jake Hull,Lawrence University (4/2/2023); Chicago (4/17/2023)
WILD PITCHES,3.0,Daniel Shaul,Ripon (4/30/2023)
HIT BATTERS,3.0,Daniel Shaul; B. Cerrato,Carroll (Wis.) (3/19/2023); Chicago (4/17/2023)
