#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
9.0,"McCain, Mac 9 McCain, Mac",0.364,0.939,39-39,165,34,60,16,2,2,35,86,0.521,14,5,22,5,0.418,5,0,7-8,View Bio
25.0,"Brown, Ian 25 Brown, Ian",0.242,0.733,30-26,99,9,24,3,0,5,19,42,0.424,3,7,32,1,0.309,1,0,1-1,View Bio
26.0,"Watts, Kelton 26 Watts, Kelton",0.5,1.227,7-5,22,3,11,2,0,1,4,16,0.727,0,0,3,0,0.5,0,0,0-0,View Bio
27.0,"Richardson, Sean 27 Richardson, Sean",0.433,1.053,24-22,90,28,39,5,1,1,17,49,0.544,14,1,10,0,0.509,1,2,5-9,View Bio
30.0,"Ruden, Nikolas 30 Ruden, Nikolas",0.376,0.925,26-26,109,31,41,10,0,1,14,54,0.495,7,4,19,0,0.43,1,0,5-8,View Bio
13.0,"Crawford, Ethan 13 Crawford, Ethan",0.351,1.157,26-25,97,23,34,7,1,9,39,70,0.722,4,12,15,2,0.435,2,0,2-3,View Bio
22.0,"Stoll, Jack 22 Stoll, Jack",0.333,1.0,15-0,3,3,1,1,0,0,2,2,0.667,0,0,1,0,0.333,0,0,0-0,View Bio
20.0,"McCurdy, Nathan 20 McCurdy, Nathan",0.321,0.906,29-27,84,18,27,5,2,0,14,36,0.429,19,6,21,0,0.477,0,1,5-5,View Bio
24.0,"Borberg, Evan 24 Borberg, Evan",0.3,0.841,20-19,70,12,21,4,0,2,11,31,0.443,11,1,10,2,0.398,1,2,0-0,View Bio
10.0,"Kelly, Ben 10 Kelly, Ben",0.297,0.785,29-25,101,16,30,4,2,2,23,44,0.436,7,1,11,3,0.349,0,1,3-5,View Bio
7.0,"Chanis, Joe 7 Chanis, Joe",0.295,0.688,24-18,78,18,23,2,0,1,10,28,0.359,4,0,12,2,0.329,0,2,0-2,View Bio
33.0,"Hadding, Lucas 33 Hadding, Lucas",0.293,0.785,22-13,58,19,17,1,0,1,6,21,0.362,7,6,12,1,0.423,0,1,4-6,View Bio
35.0,"Goodson, Connor 35 Goodson, Connor",0.273,0.864,28-22,88,16,24,2,0,5,21,41,0.466,13,6,17,2,0.398,1,0,1-1,View Bio
12.0,"Tashjian, Sean 12 Tashjian, Sean",0.272,0.844,29-27,92,13,25,3,1,3,17,39,0.424,20,5,18,1,0.42,2,0,1-4,View Bio
4.0,"Fournier, Josh 4 Fournier, Josh",0.192,0.509,18-12,52,5,10,3,0,0,5,13,0.25,4,1,9,1,0.259,1,1,2-3,View Bio
29.0,"Schwartz, Ben 29 Schwartz, Ben",0.192,0.549,14-4,26,5,5,0,0,1,4,8,0.308,1,1,10,1,0.241,1,0,1-1,View Bio
11.0,"Flaherty, Michael 11 Flaherty, Michael",0.188,0.64,29-25,80,13,15,4,0,1,7,22,0.275,15,8,25,0,0.365,1,3,3-5,View Bio
5.0,"Philpott, Cole 5 Philpott, Cole",0.172,0.705,12-9,29,7,5,1,0,1,7,9,0.31,8,4,11,0,0.395,2,0,1-1,View Bio
2.0,"Cash, Stuart 2 Cash, Stuart",0.12,0.345,14-7,25,4,3,1,0,0,1,4,0.16,1,1,9,1,0.185,0,0,1-1,View Bio
31.0,"Rosen, Matthew 31 Rosen, Matthew",0.0,0.333,1-0,2,0,0,0,0,0,0,0,0.0,1,0,1,0,0.333,0,0,0-1,View Bio
32.0,"Waters, Jackson 32 Waters, Jackson",0.0,0.5,2-0,1,0,0,0,0,0,0,0,0.0,1,0,1,0,0.5,0,0,0-0,View Bio
,Totals,0.303,0.845,39-39,1371,277,415,74,9,36,256,615,0.449,154,69,269,22,0.396,19,13,42-64,
,Opponents,0.304,0.869,39-39,1344,289,408,74,13,42,254,634,0.472,159,60,301,21,0.397,15,16,73-91,
