Statistic,High,Player,Opponent
AT BATS,7,N. Ruden,Knox (4/13/2024)
RUNS SCORED,4,M. McCain; J. Chanis; N. Ruden,Elmhurst (3/10/2024); Monmouth (Ill.) (3/29/2024); Monmouth (Ill.) (3/30/2024); Knox (4/14/2024)
HITS,5,E. Crawford; S. Richardso,Knox (4/14/2024); Knox (4/13/2024)
RBIS,7,E. Crawford,Knox (4/14/2024)
DOUBLES,2,J. Fournier; N. Ruden; M. McCain; M. Flaherty,Monmouth (Ill.) (3/30/2024); Monmouth (Ill.) (3/30/2024); Illinois Col. (5/4/2024); Illinois Col. (5/5/2024); Westminster (Mo.) (3/3/2024)
TRIPLES,1,S. Richardso; E. Crawford; M. McCain; S. Tashjian,Elmhurst (3/10/2024); Monmouth (Ill.) (3/30/2024); Elmhurst (3/10/2024); Hendrix (3/18/2024); Lawrence (4/6/2024)
HOME RUNS,2,E. Crawford,Knox (4/14/2024)
WALKS,3,N. McCurdy; S. Tashjian; C. Philpott,Monmouth (Ill.) (3/30/2024); Neb. Wesleyan (2/24/2024); Westminster (Mo.) (3/3/2024); Knox (4/13/2024)
STRIKEOUTS,4,I. Brown,Wartburg (3/9/2024)
SAC HITS,1,S. Richardso; M. Flaherty; E. Borberg; N. McCurdy,Asbury (3/16/2024); Monmouth (Ill.) (3/29/2024); Monmouth (Ill.) (3/30/2024); Neb. Wesleyan (2/24/2024); Neb. Wesleyan (2/24/2024)
SAC FLIES,1,I. Brown; J. Fournier; E. Borberg; C. Goodson; M. McCain,Neb. Wesleyan (2/25/2024); Elmhurst (3/10/2024); Asbury (3/16/2024); Monmouth (Ill.) (3/30/2024); Monmouth (Ill.) (3/30/2024)
STOLEN BASES,2,M. McCain,Monmouth (Ill.) (3/30/2024); Hendrix (3/18/2024)
HIT BY PITCH,2,E. Crawford; N. Ruden; S. Tashjian; C. Philpott,Monmouth (Ill.) (3/30/2024); Knox (4/14/2024); Illinois Col. (5/4/2024); Neb. Wesleyan (2/24/2024); Knox (4/13/2024)
CAUGHT STEALING,1,N. Ruden; S. Richardso; J. Chanis; E. Crawford,Elmhurst (3/10/2024); Asbury (3/16/2024); Monmouth (Ill.) (3/29/2024); Monmouth (Ill.) (3/30/2024); Monmouth (Ill.) (3/30/2024)
HIT INTO DP,2,J. Chanis,Monmouth (Ill.) (3/30/2024)
