Name,GP,MIN,MIN/G
"#11 Lentsch, Griffin",23,478,20.8
"#10 Maher, Patrick",23,421,18.3
"#33 McManamy, Brian",23,358,15.6
"#25 Chalupa, Matt",23,349,15.2
"#24 Bellamy, Dominique",23,316,13.7
"#45 Adams, Jack",23,313,13.6
"#42 Ney, Jesse",23,313,13.6
"#05 Rogers, Joe",23,301,13.1
"#12 Valdez, Marques",23,300,13.0
"#13 Yeager, Luke",23,269,11.7
"#02 Skelly, Matt",17,243,14.3
"#03 Strek, Xander",23,214,9.3
"#04 Nitz, Garrett",19,194,10.2
"#22 Johnson, Evan",23,185,8.0
"#15 Bartuch, Dylan",23,179,7.8
"#44 Zachary, Tague",23,127,5.5
"#21 Pollick, Joel",10,27,2.7
"#35 Olson, Cody",13,23,1.8
"#23 Walton, Aamir",11,19,1.7
"#54 Paredes, Santiago",12,18,1.5
"#04 Gardner, Hayes",5,3,0.6
