Name,GP,Pts,Pts/G
"#11 Lentsch, Griffin",23,602,26.2
"#13 Yeager, Luke",23,247,10.7
"#10 Maher, Patrick",23,243,10.6
"#42 Ney, Jesse",23,226,9.8
"#25 Chalupa, Matt",23,206,9.0
"#02 Skelly, Matt",17,154,9.1
"#45 Adams, Jack",23,152,6.6
"#24 Bellamy, Dominique",23,142,6.2
"#04 Nitz, Garrett",19,107,5.6
"#33 McManamy, Brian",23,101,4.4
"#12 Valdez, Marques",23,86,3.7
"#03 Strek, Xander",23,73,3.2
"#22 Johnson, Evan",23,71,3.1
"#05 Rogers, Joe",23,63,2.7
"#15 Bartuch, Dylan",23,39,1.7
"#44 Zachary, Tague",23,15,0.7
"#54 Paredes, Santiago",12,13,1.1
"#35 Olson, Cody",13,6,0.5
"#21 Pollick, Joel",10,4,0.4
