Name,GP,STL,STL/G
"#21 Bayer, Braedon",25,48,1.9
"#02 Yeager, Luke",25,43,1.7
"#24 Taylor, Jack",25,30,1.2
"#35 Ekstrand, Jacob",25,26,1.0
"#03 Parker, Kyle",18,26,1.4
"#12 Marx, Julian",23,25,1.1
"#44 Zachary, Tague",25,21,0.8
"#13 Porter, Mike",24,18,0.8
"#23 Phillip, Ikaika",25,14,0.6
"#33 Curta, Nick",25,12,0.5
"#10 Jasaitis , Matt",23,10,0.4
"#42 Van Oort, Jake",23,10,0.4
"#25 Balcom, Nathan",25,9,0.4
"#15 Bartuch, Dylan",24,5,0.2
"#11 King, Gus",17,5,0.3
"#22 Thomas, Danny",16,5,0.3
"#45 Cullinane, Sean",20,3,0.2
"#03 Page, James",9,3,0.3
"#04 LaMacchia, Anthony",20,2,0.1
"#54 Redhead, Andrew",13,2,0.2
"#22 LeMoine, Brent",6,1,0.2
