Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#12 Marx, Julian",23,86,211,0.408,3.7,9.2
"#03 Parker, Kyle",19,63,198,0.318,3.3,10.4
"#35 Ekstrand, Jacob",23,58,151,0.384,2.5,6.6
"#10 Jasaitis , Matt",22,57,148,0.385,2.6,6.7
"#13 Johnson, Ky-Sean",23,54,148,0.365,2.3,6.4
"#15 Phillip, Ikaika",21,21,81,0.259,1.0,3.9
"#05 Curta, Vinny",23,17,66,0.258,0.7,2.9
"#24 Balcom, Nathan",23,13,44,0.295,0.6,1.9
"#45 Cullinane, Sean",21,12,25,0.48,0.6,1.2
"#22 Thomas, Danny",22,12,38,0.316,0.5,1.7
"#11 King, Gus",23,11,40,0.275,0.5,1.7
"#21 Bayer, Braedon",9,10,44,0.227,1.1,4.9
"#21 Porter, Mike",13,10,32,0.313,0.8,2.5
"#44 Simon , Christian",11,6,21,0.286,0.5,1.9
"#04 LaMacchia, Anthony",18,5,18,0.278,0.3,1.0
"#03 Bynum , Reggie",5,2,3,0.667,0.4,0.6
"#02 Redhead, Andrew",20,2,5,0.4,0.1,0.3
"#42 LeMoine, Brent",8,1,2,0.5,0.1,0.3
"#54 Boehm, Griffin",23,0,1,0.0,0.0,0.0
"#33 Curta, Nick",23,0,2,0.0,0.0,0.1
"#23 Davis, Ryan",16,0,1,0.0,0.0,0.1
"#25 Van Oort, Jake",19,0,7,0.0,0.0,0.4
