Name,GP,PF,PF/G
"#35 Ekstrand, Jacob",23,74,3.2
"#33 Curta, Nick",23,59,2.6
"#05 Curta, Vinny",23,58,2.5
"#15 Phillip, Ikaika",21,47,2.2
"#13 Johnson, Ky-Sean",23,46,2.0
"#10 Jasaitis , Matt",22,43,2.0
"#03 Parker, Kyle",19,41,2.2
"#25 Van Oort, Jake",19,38,2.0
"#24 Balcom, Nathan",23,35,1.5
"#21 Porter, Mike",13,34,2.6
"#12 Marx, Julian",23,33,1.4
"#22 Thomas, Danny",22,25,1.1
"#21 Bayer, Braedon",9,21,2.3
"#11 King, Gus",23,18,0.8
"#02 Redhead, Andrew",20,18,0.9
"#54 Boehm, Griffin",23,15,0.7
"#45 Cullinane, Sean",21,10,0.5
"#44 Simon , Christian",11,7,0.6
"#23 Davis, Ryan",16,6,0.4
"#25 Van Oort, Jake",2,6,3.0
"#04 LaMacchia, Anthony",18,5,0.3
"#03 Bynum , Reggie",5,3,0.6
"#42 LeMoine, Brent",8,1,0.1
