Statistic,High,Opponent
POINTS,135,Monmouth College (12/08/15)
FIELD GOALS MADE,48,Monmouth College (12/08/15)
FIELD GOAL ATTEMPTS,101,Monmouth College (12/08/15)
3 PT FIELD GOALS MADE,29,Cornell College (01/20/16)
3 PT FG ATTEMPTS,69,Cornell College (12/02/15)
FREE THROWS MADE,31,Carroll (WI) (12/12/15)
FREE THROW ATTEMPTS,40,Carroll (WI) (12/12/15)
REBOUNDS,50,Illinois College (02/20/16)
ASSISTS,31,Knox (01/12/16)
STEALS,21,Crossroads (11/15/15)
BLOCKED SHOTS,9,Simpson (11/24/15)
TURNOVERS,21,Cornell College (12/02/15); Knox College (02/17/16)
FOULS,38,Monmouth College (12/08/15); Carroll University (02/06/16)
