Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Wartburg College,11/15/16,100-126,-26,33-87/47-65,.379/.723,21-63/1-1,.333/1.000,13-21/31-41,.619-.756,33/50 -17,16/42,14/16,1/1,9/7,33/16
Silver Lake,11/19/16,167-115,52,56-125/49-81,.448/.605,29-80/2-7,.363/.286,26-31/15-23,.839-.652,53/57 -4,27/30,10/40,3/2,21/2,20/26
Central,11/23/16,128-143,-15,39-94/52-76,.415/.684,24-62/2-3,.387/.667,26-35/37-51,.743-.725,37/59 -22,21/42,19/28,1/6,13/10,37/27
Greenville,11/26/16,151-128,23,41-75/49-114,.547/.430,15-42/14-55,.357/.255,54-71/16-28,.761-.571,54/58 -4,27/24,33/26,4/2,15/22,25/44
Simpson College,11/29/16,112-104,8,38-83/44-70,.458/.629,16-48/0-2,.333/.000,20-26/16-28,.769-.571,36/45 -9,19/30,24/30,3/1,14/6,30/25
Beloit College,12/02/16,122-110,12,42-88/45-82,.477/.549,17-52/2-8,.327/.250,21-29/18-26,.724-.692,44/49 -5,17/29,26/32,6/1,15/9,28/21
Lake Forest College,12/03/16,117-112,5,36-79/40-61,.456/.656,16-46/12-21,.348/.571,29-37/20-32,.784-.625,30/45 -15,11/30,9/29,2/1,12/4,27/29
Cornell College,12/07/16,119-99,20,42-101/38-58,.416/.655,31-70/2-4,.443/.500,4-8/21-32,.500-.656,39/49 -10,28/26,15/31,3/6,19/6,27/16
Lawrence University,12/10/16,133-125,8,39-101/51-73,.386/.699,24-65/4-9,.369/.444,31-45/19-38,.689-.500,49/53 -4,22/40,14/33,3/7,25/7,31/30
Ripon College,01/04/17,82-98,-16,25-73/40-61,.342/.656,13-40/2-6,.325/.333,19-25/16-25,.760-.640,31/45 -14,13/20,9/13,2/7,6/6,24/23
St. Norbert College,01/06/17,73-100,-27,27-87/41-62,.310/.661,10-49/2-3,.204/.667,9-11/16-24,.818-.667,29/58 -29,8/27,14/29,3/4,13/10,23/16
Lake Forest College,01/13/17,105-109,-4,35-80/44-64,.438/.688,26-62/3-8,.419/.375,9-14/18-26,.643-.692,19/52 -33,25/21,13/29,2/2,15/7,19/15
Beloit College,01/14/17,111-92,19,39-83/34-56,.470/.607,18-53/0-3,.340/.000,15-19/24-36,.789-.667,29/46 -17,20/14,9/25,2/0,6/6,25/21
Monmouth College,01/18/17,91-99,-8,36-84/33-45,.429/.733,11-37/0-0,.297/NaN,8-17/33-42,.471-.786,29/45 -16,9/19,6/22,0/3,17/4,34/15
Ripon College,01/21/17,104-101,3,30-70/35-59,.429/.593,14-33/9-16,.424/.563,30-36/22-34,.833-.647,32/41 -9,19/23,16/24,4/7,9/6,28/30
Cornell College,01/25/17,117-116,1,38-86/36-55,.442/.655,20-55/3-8,.364/.375,21-28/41-48,.750-.854,32/43 -11,20/25,20/30,4/5,17/8,36/25
Lawrence,01/28/17,129-91,38,36-89/36-62,.404/.581,19-56/3-11,.339/.273,38-43/16-23,.884-.696,40/47 -7,22/21,12/38,3/2,21/5,23/34
Monmouth (IL),01/31/17,111-118,-7,38-91/41-57,.418/.719,16-46/1-1,.348/1.000,19-22/35-51,.864-.686,36/46 -10,12/32,12/23,2/5,9/9,33/21
Illinois College,02/04/17,117-79,38,40-86/34-81,.465/.420,24-61/3-25,.393/.120,13-23/8-12,.565-.667,49/53 -4,18/24,10/21,7/4,14/5,12/17
Knox,02/08/17,136-71,65,46-102/28-64,.451/.438,33-81/3-12,.407/.250,11-12/12-22,.917-.545,55/43 12,39/20,18/35,3/2,16/8,20/15
Saint Norbert,02/11/17,91-87,4,30-72/30-53,.417/.566,18-47/1-2,.383/.500,11-16/26-32,.688-.813,30/42 -12,17/17,16/25,9/4,8/7,26/23
Knox College,02/14/17,124-81,43,36-75/31-63,.480/.492,18-48/0-8,.375/.000,34-42/19-27,.810-.704,37/43 -6,22/22,11/30,6/4,13/5,25/31
Illinois College,02/18/17,110-94,16,31-79/37-77,.392/.481,13-49/4-20,.265/.200,35-49/16-30,.714-.533,51/52 -1,14/25,14/23,3/2,14/4,22/30
