#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
5.0,"Curta, Vinny 05 Curta, Vinny",23,18.3,0.478,0.298,0.774,1.1,1.8,2.9,5.0,2.0,0.2,25.2
12.0,"Marx, Julian 12 Marx, Julian",23,18.5,0.433,0.393,0.921,0.4,1.2,1.6,3.2,0.8,0.0,22.3
13.0,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",23,15.7,0.423,0.32,0.759,0.6,0.7,1.2,0.7,1.0,0.0,14.7
35.0,"Ekstrand, Jacob 35 Ekstrand, Jacob",23,15.3,0.365,0.331,0.742,1.2,2.6,3.8,0.9,1.5,0.7,9.5
45.0,"Cullinane, Sean 45 Cullinane, Sean",23,14.9,0.445,0.445,0.714,0.9,0.6,1.5,0.4,1.0,0.0,9.0
4.0,"Porter, Mike 04 Porter, Mike",22,15.9,0.398,0.369,0.719,1.0,1.0,2.0,2.6,1.1,0.1,6.5
33.0,"Curta, Nick 33 Curta, Nick",23,16.3,0.509,0.39,0.688,2.4,2.1,4.5,1.1,1.3,1.6,6.4
22.0,"Balcom, Nathan 22 Balcom, Nathan",23,15.9,0.391,0.393,0.643,1.3,1.0,2.4,1.2,1.2,0.1,5.0
2.0,"Phillip, Ikaika 02 Phillip, Ikaika",21,14.4,0.364,0.333,0.909,0.8,1.8,2.6,1.1,1.2,0.1,4.9
3.0,"Boehm, Griffin 03 Boehm, Griffin",23,15.8,0.638,0.2,0.567,2.5,2.5,5.0,0.6,0.8,0.0,3.4
21.0,"Marks, Jermaine 21 Marks, Jermaine",1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
21.0,"Bynum , Reggie 21 Bynum , Reggie",17,8.5,0.526,0.25,0.714,0.6,0.2,0.8,0.5,0.5,0.2,2.2
15.0,"Jacobson, Noah 15 Jacobson, Noah",23,7.8,0.295,0.304,0.464,0.5,0.6,1.1,1.0,0.8,0.0,2.0
44.0,"Gulve, Anthony 44 Gulve, Anthony",22,6.5,0.429,0.45,0.0,0.3,0.2,0.5,0.1,0.2,0.0,1.2
10.0,"Ward, Henry 10 Ward, Henry",17,4.5,0.429,0.353,0.0,0.2,0.1,0.3,0.2,0.1,0.0,1.4
11.0,"King, Gus 11 King, Gus",23,6.0,0.22,0.222,0.5,0.4,0.3,0.8,0.5,0.3,0.0,1.2
24.0,"Redhead, Andrew 24 Redhead, Andrew",8,4.1,0.5,0.333,1.0,0.4,0.5,0.9,0.0,0.1,0.1,1.0
25.0,"Conran, Jake 25 Conran, Jake",23,8.7,0.333,0.267,0.25,0.7,1.5,2.2,0.7,0.3,0.3,0.9
23.0,"Leder, Jacob 23 Leder, Jacob",7,2.9,0.125,0.0,1.0,0.1,0.0,0.1,0.3,0.0,0.0,0.6
42.0,"Schroeder, Mike 42 Schroeder, Mike",5,3.2,0.333,0.333,0.0,0.2,1.4,1.6,0.0,0.0,0.0,0.6
54.0,"Zajac, Jakub 54 Zajac, Jakub",5,2.2,0.5,0.5,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.6
,Total,23,201.1,0.429,0.358,0.752,17.5,20.5,38.0,19.4,14.0,3.3,115.22
,Opponents,23,201.1,0.595,0.313,0.677,12.7,36.0,48.7,26.2,7.1,3.4,104.26
