Name,GP,AST,TO,AST/TO Ratio
"#12 Balcom, Nathan",24,38,14,2.71
"#54 Mickus, Alex",6,2,1,2.0
"#04 Boehm, Griffin",24,21,12,1.75
"#03 Breshears, Jackson",24,8,7,1.14
"#25 Conran, Jake",7,1,1,1.0
"#45 Cullinane, Sean",24,18,17,1.06
"#05 Curta, Vinny",24,118,89,1.33
"#23 Dubow, Will",24,13,12,1.08
"#35 Ekstrand, Jacob",24,16,16,1.0
"#44 Geiman, Brad",24,9,8,1.13
"#25 Gulve, Anthony",5,1,1,1.0
"#11 King, Gus",18,6,5,1.2
"#02 Phillip, Ikaika",24,36,22,1.64
"#10 Gulve, Anthony",20,17,13,1.31
"#33 Walser, Morgan",24,20,19,1.05
