Name,GP,AST,AST/G
"#05 Curta, Vinny",25,152,6.1
"#21 Qualley, Jackson",25,84,3.4
"#02 Kogelnik, Hannes",25,44,1.8
"#22 Grumhaus, Tyler",24,41,1.7
"#35 Simms, Patrick",25,32,1.3
"#13 Johnson, Ky-Sean",23,31,1.3
"#42 Brookens, Christian",23,27,1.2
"#10 Stice, Zachary",25,22,0.9
"#04 Boehm, Griffin",25,17,0.7
"#25 Bebee, Will",25,13,0.5
"#24 Gulve, Anthony",25,11,0.4
"#54 Jones, Derek",24,10,0.4
"#23 Dubow, Will",25,9,0.4
"#33 Walser, Morgan",25,9,0.4
"#15 Jacobson, Noah",15,7,0.5
"#11 Moynihan, Ant",11,6,0.5
"#44 Geiman, Brad",25,5,0.2
"#03 Breshears, Jackson",18,4,0.2
"#12 Leder, Jacob",11,2,0.2
"#03 Conran, Jake",7,1,0.1
"#45 Keller, Dawson",14,1,0.1
"#03 Vest, Brady",5,1,0.2
