Name,GP,TO,TO/G
"#04 Qualley, Jackson",25,80,3.2
"#13 Gilbert, Aiden",23,64,2.8
"#02 Kogelnik, Hannes",25,34,1.4
"#21 Simms, Patrick",11,33,3.0
"#22 Grumhaus, Tyler",25,29,1.2
"#12 Brookens, Christian",25,19,0.8
"#45 Bebee, Will",24,18,0.8
"#10 Stice, Zachary",21,18,0.9
"#23 Dubow, Will",25,16,0.6
"#05 Vest, Brady",24,13,0.5
"#15 Bumanglag, Noah",12,11,0.9
"#44 Geiman, Brad",25,10,0.4
"#03 Breshears, Jackson",25,7,0.3
"#35 Phillips, Adam",21,7,0.3
#TM Team,25,7,0.3
"#11 Benhart, Jake",13,6,0.5
"#24 Gulve, Anthony",24,5,0.2
"#15 Mazlish, Dean",8,3,0.4
"#42 McLean, Tate",10,3,0.3
"#54 Smith, Tommy",16,2,0.1
"#54 Breshears, Kort",5,1,0.2
"#25 Keller, Dawson",14,1,0.1
"#33 Walser, Morgan",24,1,0.0
