Name,GP,Pts,Pts/G
"#13 Gilbert, Aiden",21,375,17.9
"#10 Phillips, Adam",24,317,13.2
"#24 Gestring, Dillon",24,266,11.1
"#15 Mazlish, Dean",24,205,8.5
"#22 Bluder, David",24,177,7.4
"#12 Priest, Mitch",23,149,6.5
"#04 Rosen, Zach",23,146,6.3
"#21 Thurmgreene, Moze",24,127,5.3
"#05 Vest, Brady",24,102,4.3
"#03 McLean, Tate",24,101,4.2
"#02 Leone, Jackson",23,93,4.0
"#25 Walser, Sean",20,78,3.9
"#11 Murphy, Sean",20,66,3.3
"#44 Johnson, Tolu",24,42,1.8
"#35 Ryan, Jordon",22,34,1.5
"#45 Courtney, Nick",18,21,1.2
"#33 Ruhanen, Jack",22,20,0.9
"#23 Wright, Andre",24,18,0.8
"#54 Vincent, John",16,12,0.8
"#42 DeGeorge, Max",13,3,0.2
