#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
13,"Gilbert, Aiden 13 Gilbert, Aiden",21,9.0,322,15.3,137,312,0.439,22,85,0.259,79,109,0.725,375,17.9,22,18,40,1.9,35,58,61,23,0,View Bio
10,"Phillips, Adam 10 Phillips, Adam",24,13.0,372,15.5,101,267,0.378,93,242,0.384,22,27,0.815,317,13.2,15,1,16,0.7,19,10,14,10,0,View Bio
24,"Gestring, Dillon 24 Gestring, Dillon",24,7.0,357,14.9,96,190,0.505,26,73,0.356,48,78,0.615,266,11.1,27,59,86,3.6,66,27,22,26,17,View Bio
15,"Mazlish, Dean 15 Mazlish, Dean",24,9.0,368,15.3,63,154,0.409,32,90,0.356,47,66,0.712,205,8.5,23,29,52,2.2,56,70,39,54,1,View Bio
22,"Bluder, David 22 Bluder, David",24,3.0,266,11.1,64,175,0.366,32,116,0.276,17,25,0.68,177,7.4,15,14,29,1.2,17,10,14,7,1,View Bio
12,"Priest, Mitch 12 Priest, Mitch",23,6.0,240,10.4,51,128,0.398,35,89,0.393,12,14,0.857,149,6.5,13,14,27,1.2,15,35,27,16,0,View Bio
04,"Rosen, Zach 04 Rosen, Zach",23,10.0,293,12.7,47,112,0.42,29,74,0.392,23,36,0.639,146,6.3,22,39,61,2.7,51,61,27,33,1,View Bio
21,"Thurmgreene, Moze 21 Thurmgreene, Moze",24,4.0,245,10.2,42,103,0.408,40,95,0.421,3,6,0.5,127,5.3,9,9,18,0.8,15,8,3,12,2,View Bio
05,"Vest, Brady 05 Vest, Brady",24,14.0,355,14.8,33,88,0.375,16,57,0.281,20,27,0.741,102,4.3,39,49,88,3.7,59,33,18,18,2,View Bio
03,"McLean, Tate 03 McLean, Tate",24,8.0,272,11.3,41,92,0.446,16,45,0.356,3,8,0.375,101,4.2,28,24,52,2.2,21,22,17,14,2,View Bio
02,"Leone, Jackson 02 Leone, Jackson",23,8.0,304,13.2,31,108,0.287,24,91,0.264,7,17,0.412,93,4.0,19,22,41,1.8,19,19,15,24,2,View Bio
25,"Walser, Sean 25 Walser, Sean",20,0.0,185,9.3,30,76,0.395,8,33,0.242,10,16,0.625,78,3.9,13,23,36,1.8,36,17,22,16,4,View Bio
11,"Murphy, Sean 11 Murphy, Sean",20,4.0,202,10.1,21,75,0.28,20,70,0.286,4,5,0.8,66,3.3,9,11,20,1.0,11,10,9,11,0,View Bio
44,"Johnson, Tolu 44 Johnson, Tolu",24,12.0,306,12.8,18,29,0.621,0,0,0.0,6,18,0.333,42,1.8,53,64,117,4.9,46,14,11,22,14,View Bio
35,"Ryan, Jordon 35 Ryan, Jordon",22,2.0,121,5.5,12,23,0.522,4,11,0.364,6,10,0.6,34,1.5,17,23,40,1.8,12,1,1,10,4,View Bio
45,"Courtney, Nick 45 Courtney, Nick",18,2.0,180,10.0,7,24,0.292,1,9,0.111,6,8,0.75,21,1.2,13,18,31,1.7,41,5,15,23,1,View Bio
33,"Ruhanen, Jack 33 Ruhanen, Jack",22,0.0,117,5.3,9,28,0.321,2,18,0.111,0,0,0.0,20,0.9,13,18,31,1.4,21,4,7,2,6,View Bio
23,"Wright, Andre 23 Wright, Andre",24,6.0,179,7.5,5,25,0.2,3,21,0.143,5,9,0.556,18,0.8,14,18,32,1.3,29,7,8,13,0,View Bio
54,"Vincent, John 54 Vincent, John",16,3.0,99,6.2,6,9,0.667,0,0,0.0,0,6,0.0,12,0.8,9,22,31,1.9,17,2,5,2,4,View Bio
42,"DeGeorge, Max 42 DeGeorge, Max",13,0.0,34,2.6,1,9,0.111,1,9,0.111,0,0,0.0,3,0.2,3,6,9,0.7,4,0,0,5,0,View Bio
13,"Stein, Alex 13 Stein, Alex",2,0.0,8,4.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,2,3,0,0,0,View Bio
TM,Team  TM Team,24,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,58,46,104,4.3,0,0,22,0,0,
,Total,24,,4825,201.0,815,2029,0.402,404,1229,0.329,318,485,0.656,2352,98.0,434,527,961,40.0,592,416,357,341,61,
,Opponents,24,,4825,201.0,849,1589,0.534,146,411,0.355,465,677,0.687,2309,96.21,334,861,1195,49.8,449,568,602,179,76,
