Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#11 Te Huki, Kai",26,156,192,0.813,6.0,7.4
"#10 Garcia, Gabe",26,135,204,0.662,5.2,7.8
"#04 Lee, Jordan",26,45,56,0.804,1.7,2.2
"#01 Tarighi, Ryan",26,43,67,0.642,1.7,2.6
"#21 Murphy, Sean",26,25,29,0.862,1.0,1.1
"#45 Lundy, Nick",26,21,31,0.677,0.8,1.2
"#15 Rosen, Zach",25,21,42,0.5,0.8,1.7
"#05 Courtney, Nick",24,14,24,0.583,0.6,1.0
"#02 Johnson, Tolu",26,14,47,0.298,0.5,1.8
"#24 Gestring, Dillon",26,13,20,0.65,0.5,0.8
"#35 Ryan, Jordon",25,13,17,0.765,0.5,0.7
"#00 Leone, Jackson",21,12,14,0.857,0.6,0.7
"#22 Bluder, David",26,11,16,0.688,0.4,0.6
"#54 Vincent, John",23,9,25,0.36,0.4,1.1
"#03 Walser, Sean",26,8,11,0.727,0.3,0.4
"#13 DeBruhl, Carson",26,5,8,0.625,0.2,0.3
"#25 Deal, Tanner",19,1,3,0.333,0.1,0.2
"#33 Ruhanen, Jack",26,1,4,0.25,0.0,0.2
"#42 DeGeorge, Max",25,0,1,0.0,0.0,0.0
