Statistic,High,Player,Opponent
POINTS,51,"Te Huki,Kai",Andrews (01/12/24)
FIELD GOALS MADE,16,"Te Huki,Kai",Andrews (01/12/24)
FIELD GOAL ATTEMPTS,32,"Te Huki,Kai",Andrews (01/12/24)
3 PT FIELD GOALS MADE,15,"Te Huki,Kai",Andrews (01/12/24)
3 PT FG ATTEMPTS,31,"Te Huki,Kai",Andrews (01/12/24)
FREE THROWS MADE,13,"Garcia,Gabe",Luther (11/08/23)
FREE THROW ATTEMPTS,16,"Garcia,Gabe",Luther (11/08/23)
REBOUNDS,11,Tolu Johnson,Blackburn College (12/30/23)
ASSISTS,15,"Rosen,Zach",Andrews (01/12/24)
STEALS,6,"Te Huki,Kai; Leone,Jackson",Barclay (11/11/23); Lawrence (01/06/24)
BLOCKED SHOTS,4,"Gestring,Dillon",Lawrence (12/02/23)
TURNOVERS,8,"Lee,Jordan",Alma (12/09/23)
FOULS,6,"Johnson,Tolu",Beloit (02/14/24)
