Statistic,High,Opponent
POINTS,166,Andrews (01/12/24)
FIELD GOALS MADE,54,Andrews (01/12/24)
FIELD GOAL ATTEMPTS,122,Barclay (11/11/23)
3 PT FIELD GOALS MADE,40,Andrews (01/12/24)
3 PT FG ATTEMPTS,92,Andrews (01/12/24)
FREE THROWS MADE,36,Alma (12/09/23)
FREE THROW ATTEMPTS,45,Barclay (11/10/23); Alma (12/09/23); Illinois Col. (02/07/24)
REBOUNDS,69,Barclay (11/11/23)
ASSISTS,45,Andrews (01/12/24)
STEALS,24,Ripon (01/04/24)
BLOCKED SHOTS,7,Lawrence (12/02/23)
TURNOVERS,26,Alma (12/09/23)
FOULS,29,Monmouth (IL) (02/17/24)
