#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
11,"Te Huki, Kai 11 Te Huki, Kai",26,20.0,489,18.8,223,535,0.417,122,348,0.351,156,192,0.813,724,27.8,54,11,65,2.5,27,46,78,35,6,View Bio
10,"Garcia, Gabe 10 Garcia, Gabe",26,10.0,401,15.4,164,351,0.467,3,34,0.088,135,204,0.662,466,17.9,47,42,89,3.4,51,89,75,41,7,View Bio
04,"Lee, Jordan 04 Lee, Jordan",26,12.0,417,16.0,97,292,0.332,69,202,0.342,45,56,0.804,308,11.8,32,36,68,2.6,31,81,39,32,1,View Bio
01,"Tarighi, Ryan 01 Tarighi, Ryan",26,7.0,334,12.8,71,173,0.41,33,97,0.34,43,67,0.642,218,8.4,25,16,41,1.6,23,22,19,21,0,View Bio
21,"Murphy, Sean 21 Murphy, Sean",26,5.0,332,12.8,57,146,0.39,52,138,0.377,25,29,0.862,191,7.3,17,15,32,1.2,8,15,14,11,0,View Bio
45,"Lundy, Nick 45 Lundy, Nick",26,4.0,319,12.3,58,127,0.457,24,79,0.304,21,31,0.677,161,6.2,27,62,89,3.4,17,15,10,20,1,View Bio
22,"Bluder, David 22 Bluder, David",26,6.0,230,8.8,44,108,0.407,26,73,0.356,11,16,0.688,125,4.8,17,4,21,0.8,10,3,13,12,0,View Bio
14,"Nikolic, Strahinja 14 Nikolic, Strahinja",1,0.0,3,3.0,2,2,1.0,0,0,0.0,0,0,0.0,4,4.0,0,1,1,1.0,1,0,0,1,0,View Bio
02,"Johnson, Tolu 02 Johnson, Tolu",26,21.0,432,16.6,39,64,0.609,0,1,0.0,14,47,0.298,92,3.5,51,89,140,5.4,65,24,20,35,26,View Bio
54,"Vincent, John 54 Vincent, John",23,2.0,169,7.3,36,48,0.75,0,0,0.0,9,25,0.36,81,3.5,23,36,59,2.6,46,4,10,4,7,View Bio
24,"Gestring, Dillon 24 Gestring, Dillon",26,3.0,248,9.5,28,71,0.394,11,37,0.297,13,20,0.65,80,3.1,25,26,51,2.0,57,9,16,26,7,View Bio
00,"Leone, Jackson 00 Leone, Jackson",21,6.0,243,11.6,19,66,0.288,14,56,0.25,12,14,0.857,64,3.0,23,26,49,2.3,28,21,8,24,1,View Bio
15,"Rosen, Zach 15 Rosen, Zach",25,15.0,354,14.2,20,61,0.328,6,34,0.176,21,42,0.5,67,2.7,34,53,87,3.5,34,70,20,46,0,View Bio
42,"DeGeorge, Max 42 DeGeorge, Max",25,0.0,142,5.7,19,52,0.365,18,49,0.367,0,1,0.0,56,2.2,13,6,19,0.8,15,9,2,11,0,View Bio
25,"Deal, Tanner 25 Deal, Tanner",19,1.0,111,5.8,13,40,0.325,12,39,0.308,1,3,0.333,39,2.1,2,3,5,0.3,20,1,5,6,0,View Bio
05,"Courtney, Nick 05 Courtney, Nick",24,13.0,357,14.9,12,50,0.24,7,31,0.226,14,24,0.583,45,1.9,28,26,54,2.3,62,20,12,39,3,View Bio
13,"DeBruhl, Carson 13 DeBruhl, Carson",26,3.0,179,6.9,15,49,0.306,11,45,0.244,5,8,0.625,46,1.8,21,10,31,1.2,22,9,13,13,0,View Bio
12,"Priest, Mitch 12 Priest, Mitch",10,0.0,38,3.8,5,19,0.263,5,18,0.278,0,0,0.0,15,1.5,0,4,4,0.4,3,4,4,2,1,View Bio
35,"Ryan, Jordon 35 Ryan, Jordon",25,2.0,130,5.2,9,29,0.31,4,16,0.25,13,17,0.765,35,1.4,28,14,42,1.7,12,4,2,11,2,View Bio
03,"Walser, Sean 03 Walser, Sean",26,0.0,154,5.9,6,12,0.5,1,4,0.25,8,11,0.727,21,0.8,12,25,37,1.4,19,6,6,18,0,View Bio
33,"Ruhanen, Jack 33 Ruhanen, Jack",26,0.0,118,4.5,7,12,0.583,0,2,0.0,1,4,0.25,15,0.6,10,21,31,1.2,21,6,3,9,3,View Bio
TM,Team  TM Team,26,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,65,52,117,4.5,0,0,23,0,0,
,Total,26,,5200,200.0,944,2307,0.409,418,1303,0.321,547,811,0.674,2853,109.73,554,578,1132,43.5,572,458,392,417,65,
,Opponents,26,,5200,200.0,1008,1831,0.551,138,420,0.329,426,645,0.66,2580,99.23,352,934,1286,49.5,626,539,736,199,94,
