#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
10,"Garcia, Gabe 10 Garcia, Gabe",7,0.0,111,15.9,44,89,0.494,6,23,0.261,59,71,0.831,153,21.9,6,9,15,2.1,9,21,3.0,22,11,1,View Bio
11,"Te Huki, Kai 11 Te Huki, Kai",7,7.0,136,19.4,35,90,0.389,11,57,0.193,36,49,0.735,117,16.7,12,2,14,2.0,10,16,2.3,11,4,0,View Bio
01,"Dar, Harris 01 Dar, Harris",7,3.0,116,16.6,36,60,0.6,2,10,0.2,20,36,0.556,94,13.4,9,15,24,3.4,12,34,4.9,22,11,3,View Bio
21,"Murphy, Sean 21 Murphy, Sean",7,1.0,109,15.6,17,42,0.405,16,40,0.4,17,22,0.773,67,9.6,8,6,14,2.0,7,3,0.4,6,1,0,View Bio
45,"Lundy, Nick 45 Lundy, Nick",5,0.0,70,14.0,17,35,0.486,2,14,0.143,4,4,1.0,40,8.0,9,11,20,4.0,2,2,0.4,3,4,0,View Bio
04,"Lee, Jordan 04 Lee, Jordan",7,5.0,111,15.9,14,50,0.28,14,48,0.292,11,14,0.786,53,7.6,7,12,19,2.7,7,8,1.1,5,4,0,View Bio
00,"Leone, Jackson 00 Leone, Jackson",7,0.0,118,16.9,15,38,0.395,12,31,0.387,6,9,0.667,48,6.9,3,21,24,3.4,8,8,1.1,8,28,1,View Bio
02,"Johnson, Tolu 02 Johnson, Tolu",7,7.0,117,16.7,13,17,0.765,0,0,0.0,7,14,0.5,33,4.7,18,37,55,7.9,20,12,1.7,6,7,3,View Bio
03,"Walser, Sean 03 Walser, Sean",7,4.0,87,12.4,11,16,0.688,6,10,0.6,2,3,0.667,30,4.3,2,4,6,0.9,12,0,0.0,3,8,2,View Bio
54,"Vincent, John 54 Vincent, John",7,0.0,85,12.1,13,18,0.722,0,0,0.0,7,13,0.538,33,4.7,14,18,32,4.6,25,0,0.0,6,1,4,View Bio
15,"Rosen, Zach 15 Rosen, Zach",7,4.0,77,11.0,8,19,0.421,5,15,0.333,2,3,0.667,23,3.3,1,6,7,1.0,9,10,1.4,5,8,0,View Bio
05,"Courtney, Nick 05 Courtney, Nick",7,3.0,90,12.9,6,19,0.316,3,13,0.231,3,4,0.75,18,2.6,11,12,23,3.3,22,2,0.3,6,12,0,View Bio
23,"Nikolic, Strahinja 23 Nikolic, Strahinja",5,0.0,42,8.4,4,8,0.5,0,1,0.0,2,2,1.0,10,2.0,2,1,3,0.6,10,1,0.2,2,1,3,View Bio
12,"Priest, Mitch 12 Priest, Mitch",7,1.0,35,5.0,2,11,0.182,2,11,0.182,1,2,0.5,7,1.0,1,3,4,0.6,2,3,0.4,1,1,0,View Bio
22,"Bluder, David 22 Bluder, David",7,0.0,36,5.1,5,24,0.208,1,19,0.053,1,2,0.5,12,1.7,0,0,0,0.0,2,1,0.1,1,3,0,View Bio
42,"DeGeorge, Max 42 DeGeorge, Max",2,0.0,8,4.0,1,4,0.25,1,4,0.25,0,0,0.0,3,1.5,0,0,0,0.0,1,0,0.0,0,0,0,View Bio
25,"Deal, Tanner 25 Deal, Tanner",4,0.0,8,2.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,View Bio
13,"DeBruhl, Carson 13 DeBruhl, Carson",7,0.0,20,2.9,1,2,0.5,1,2,0.5,2,2,1.0,5,0.7,0,0,0,0.0,2,2,0.3,0,1,0,View Bio
24,"Gestring, Dillon 24 Gestring, Dillon",7,0.0,29,4.1,1,8,0.125,1,8,0.125,1,2,0.5,4,0.6,1,2,3,0.4,7,1,0.1,0,1,0,View Bio
33,"Ruhanen, Jack 33 Ruhanen, Jack",6,0.0,20,3.3,0,1,0.0,0,0,0.0,1,2,0.5,1,0.2,3,4,7,1.2,2,0,0.0,3,0,0,View Bio
TM,Team  TM Team,7,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,17,17,34,4.9,0,0,0.0,3,0,0,
,Total,7,,1425,203.6,243,553,0.439,83,308,0.269,182,254,0.717,751,107.29,124,180,304,43.4,169,124,17.7,113,106,17,
,Opponents,7,,1425,203.6,256,504,0.508,44,147,0.299,130,218,0.596,686,98.0,120,220,340,48.6,179,168,24.0,171,55,11,
