Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Phillips, Scott",,11.22,Midwest Conference Championship,"May 13, 2011",1.8
,"Phillips, Scott",,11.25,Dick Young Classic,"Apr 23, 2011",0.2
,"Phillips, Scott",,11.31,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",0.9
,"Phillips, Scott",,11.46,Dick Young Classic,"Apr 23, 2011",0.0
,"Boucher, Dylan",SR,11.51,Midwest Conference Championship,"May 13, 2011",0.6
,"Goldstein, Sam",SR-4,11.53,Augustana Twilight Meet,"May 20, 2011",0.5
,"Boucher, Dylan",SR,11.53,Dick Young Classic,"Apr 23, 2011",1.3
,"Phillips, Scott",,11.55,2011 Jim Duncan Invitational,"Apr 15, 2011",1.1
,"Boucher, Dylan",SR,11.58,Dick Young Classic,"Apr 23, 2011",0.2
,"Phillips, Scott",,11.65,Cornell Invitational,"Apr 9, 2011",-3.7
,"Singh, Harpreet",SR,11.79,Dick Young Classic,"Apr 23, 2011",1.6
,"Phillips, Scott",,11.79,Cornell Invitational,"Apr 9, 2011",-3.2
,"Boucher, Dylan",SR,11.89,Cornell Invitational,"Apr 9, 2011",-1.8
,"Singh, Harpreet",SR,12.29,Cornell Invitational,"Apr 9, 2011",-1.8
,"Campos, Jayson",,12.83,Kip Janvrin Open,"Apr 28, 2011",1.8
,"Espinosa, Kyle",,13.21,Midwest Conference Championship,"May 13, 2011",1.8
,"Espinosa, Kyle",,13.42,Point Loma Collegiate Scoring Meet,"Mar 26, 2011",1.7
,"Hwang, In Wook",SR-4,14.01,Cornell Invitational,"Apr 9, 2011",-3.2
,"Espinosa, Kyle",,14.41,Cornell Invitational,"Apr 9, 2011",-2.0
,"Espinosa, Kyle",,14.42,Dick Young Classic,"Apr 23, 2011",1.3
