Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Fulgoni, Gus",SO-2,1.97m,"6' 5.5""",Cornell College Invitational,"Apr 6, 2013"
,"Lentsch, Griffin",SR-4,1.95m,"6' 4.75""",Kip Janvrin Open,"Apr 25, 2013"
,"Lentsch, Griffin",SR-4,1.93m,"6' 4""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Lentsch, Griffin",SR-4,1.93m,"6' 4""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Lentsch, Griffin",SR-4,1.92m,"6' 3.5""",Cornell College Invitational,"Apr 6, 2013"
,"Fulgoni, Gus",SO-2,1.92m,"6' 3.5""",Cornell College Invitational,"Apr 6, 2013"
,"Lentsch, Griffin",SR-4,1.90m,"6' 2.75""",Kip Janvrin Open,"Apr 25, 2013"
,"Lentsch, Griffin",SR-4,1.88m,"6' 2""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Fulgoni, Gus",SO-2,1.88m,"6' 2""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Lentsch, Griffin",SR-4,1.88m,"6' 2""",Central College Open,"Apr 20, 2013"
,"Lentsch, Griffin",SR-4,1.88m,"6' 2""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Fulgoni, Gus",SO-2,1.87m,"6' 1.5""",Cornell College Invitational,"Apr 6, 2013"
,"Lentsch, Griffin",SR-4,1.87m,"6' 1.5""",Cornell College Invitational,"Apr 6, 2013"
,"Fulgoni, Gus",SO-2,1.85m,"6' 0.75""",2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Lentsch, Griffin",SR-4,1.85m,"6' 0.75""",Kip Janvrin Open,"Apr 25, 2013"
,"Lentsch, Griffin",SR-4,1.85m,"6' 0.75""",2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Lentsch, Griffin",SR-4,1.83m,"6' 0""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Lentsch, Griffin",SR-4,1.83m,"6' 0""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Fulgoni, Gus",SO-2,1.83m,"6' 0""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Lentsch, Griffin",SR-4,1.83m,"6' 0""",Central College Open,"Apr 20, 2013"
,"Fulgoni, Gus",SO-2,1.82m,"5' 11.5""",Cornell College Invitational,"Apr 6, 2013"
,"Lentsch, Griffin",SR-4,1.82m,"5' 11.5""",Cornell College Invitational,"Apr 6, 2013"
,"Lentsch, Griffin",SR-4,1.80m,"5' 10.75""",2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Fulgoni, Gus",SO-2,1.80m,"5' 10.75""",2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Lentsch, Griffin",SR-4,1.78m,"5' 10""",Central College Open,"Apr 20, 2013"
,"Fulgoni, Gus",SO-2,1.78m,"5' 10""",Central College Open,"Apr 20, 2013"
,"Fulgoni, Gus",SO-2,1.77m,"5' 9.75""",Cornell College Invitational,"Apr 6, 2013"
,"Lentsch, Griffin",SR-4,1.77m,"5' 9.75""",Cornell College Invitational,"Apr 6, 2013"
,"Fulgoni, Gus",SO-2,1.72m,"5' 7.75""",Cornell College Invitational,"Apr 6, 2013"
,"Lentsch, Griffin",SR-4,1.72m,"5' 7.75""",Cornell College Invitational,"Apr 6, 2013"
,"Davis, Ryan",FR-1,1.68m,"5' 6""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Davis, Ryan",FR-1,1.65m,"5' 5""",Kip Janvrin Open,"Apr 25, 2013"
,"Davis, Ryan",FR-1,1.63m,"5' 4.25""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Davis, Ryan",FR-1,1.63m,"5' 4.25""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Davis, Ryan",FR-1,1.60m,"5' 3""",Kip Janvrin Open,"Apr 25, 2013"
