Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Page, James",SO-2,47.20m,"154' 10""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Page, James",SO-2,46.31m,"151' 11""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Page, James",SO-2,46.12m,"151' 4""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Page, James",SO-2,46.12m,"151' 4""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Page, James",SO-2,45.09m,"147' 11""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Page, James",SO-2,44.85m,"147' 2""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Page, James",SO-2,44.24m,"145' 2""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Page, James",SO-2,43.90m,"144' 0""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Page, James",SO-2,43.72m,"143' 5""",2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Page, James",SO-2,43.50m,"142' 8""",2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Page, James",SO-2,43.37m,"142' 3""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Page, James",SO-2,43.02m,"141' 2""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Page, James",SO-2,42.98m,"141' 0""",2017 Cornell Invite,"Apr 8, 2017"
,"Page, James",SO-2,42.98m,"141' 0""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Page, James",SO-2,42.81m,"140' 5""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Page, James",SO-2,42.43m,"139' 2""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Page, James",SO-2,41.93m,"137' 7""",2017 Cornell Invite,"Apr 8, 2017"
,"Page, James",SO-2,41.47m,"136' 1""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Page, James",SO-2,41.32m,"135' 7""",2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Page, James",SO-2,41.12m,"134' 11""",2017 Cornell Invite,"Apr 8, 2017"
,"Page, James",SO-2,39.63m,"130' 0""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Page, James",SO-2,39.59m,"129' 11""",2017 Cornell Invite,"Apr 8, 2017"
,"Brunet, Chris",SO-2,39.21m,"128' 8""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Page, James",SO-2,38.97m,"127' 10""",2017 Cornell Invite,"Apr 8, 2017"
,"Page, James",SO-2,38.82m,"127' 4""",2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Brunet, Chris",SO-2,38.14m,"125' 1""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Brunet, Chris",SO-2,37.98m,"124' 7""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Page, James",SO-2,37.91m,"124' 4""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Page, James",SO-2,37.90m,"124' 4""",2017 Kip Janvrin Open,"Apr 27, 2017"
,"Brunet, Chris",SO-2,37.70m,"123' 8""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Brunet, Chris",SO-2,37.64m,"123' 6""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Brunet, Chris",SO-2,37.08m,"121' 8""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Brunet, Chris",SO-2,37.00m,"121' 5""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Brunet, Chris",SO-2,36.83m,"120' 10""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Brunet, Chris",SO-2,36.82m,"120' 10""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Brunet, Chris",SO-2,36.63m,"120' 2""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Brunet, Chris",SO-2,35.60m,"116' 9""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Brunet, Chris",SO-2,35.27m,"115' 8""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Brunet, Chris",SO-2,31.85m,"104' 6""",2017 Kip Janvrin Open,"Apr 27, 2017"
