Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Hiser, Alexander",JR-3,41.42m,"135' 11""",Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Hiser, Alexander",JR-3,40.54m,"133' 0""",Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Hiser, Alexander",JR-3,37.53m,"123' 1""",Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Bean, Garret",FR-1,35.71m,"117' 2""",Dick Young Invitational,"Apr 23, 2022"
,"Bean, Garret",FR-1,34.95m,"114' 8""",Dick Young Invitational,"Apr 23, 2022"
,"Bean, Garret",FR-1,34.87m,"114' 5""",Dick Young Invitational,"Apr 23, 2022"
,"Hiser, Alexander",JR-3,32.30m,"106' 0""",Dick Young Invitational,"Apr 23, 2022"
,"Breshears, Kort",JR-3,32.17m,"105' 6""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Nair, Aditya",FR-1,32.14m,"105' 5""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Breshears, Kort",JR-3,31.42m,"103' 1""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Nair, Aditya",FR-1,31.34m,"102' 10""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Hiser, Alexander",JR-3,31.24m,"102' 6""",Dick Young Invitational,"Apr 23, 2022"
,"Nair, Aditya",FR-1,31.19m,"102' 4""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Breshears, Kort",JR-3,30.88m,"101' 4""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Nair, Aditya",FR-1,28.14m,"92' 4""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Hiser, Alexander",JR-3,27.92m,"91' 7""",Dick Young Invitational,"Apr 23, 2022"
,"Nair, Aditya",FR-1,26.22m,"86' 0""",2022 Kip Janvrin Open,"Apr 28, 2022"
,"Nair, Aditya",FR-1,26.08m,"85' 7""",2022 Kip Janvrin Open,"Apr 28, 2022"
,"Nair, Aditya",FR-1,26.05m,"85' 5""",Dick Young Invitational,"Apr 23, 2022"
,"Nair, Aditya",FR-1,25.88m,"84' 11""",Dick Young Invitational,"Apr 23, 2022"
,"Nair, Aditya",FR-1,25.50m,"83' 8""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Nair, Aditya",FR-1,24.06m,"78' 11""",2022 Kip Janvrin Open,"Apr 28, 2022"
,"Nair, Aditya",FR-1,23.63m,"77' 6""",Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Nair, Aditya",FR-1,22.51m,"73' 10""",Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Nair, Aditya",FR-1,18.74m,"61' 6""",Emory Thrills in the Hills Open,"Mar 25, 2022"
