Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Clawson, Ian",SO-2,54.85m,"179' 11""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Clawson, Ian",SO-2,54.64m,"179' 3""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Clawson, Ian",SO-2,53.67m,"176' 1""",Augustana College Midwest Final Qualifier,"May 15, 2024"
,"Clawson, Ian",SO-2,53.40m,"175' 2""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Clawson, Ian",SO-2,53.26m,"174' 9""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Clawson, Ian",SO-2,53.10m,"174' 2""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Clawson, Ian",SO-2,53.03m,"174' 0""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Clawson, Ian",SO-2,53.01m,"173' 11""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Clawson, Ian",SO-2,52.87m,"173' 5""",Augustana College Midwest Final Qualifier,"May 15, 2024"
,"Clawson, Ian",SO-2,52.81m,"173' 3""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Clawson, Ian",SO-2,52.75m,"173' 1""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Clawson, Ian",SO-2,52.70m,"172' 11""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Clawson, Ian",SO-2,52.48m,"172' 2""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Clawson, Ian",SO-2,52.38m,"171' 10""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Clawson, Ian",SO-2,51.08m,"167' 7""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Clawson, Ian",SO-2,51.02m,"167' 5""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Clawson, Ian",SO-2,50.83m,"166' 9""",Jim Duncan Invitational,"Apr 12, 2024"
,"Clawson, Ian",SO-2,50.26m,"164' 11""",Jim Duncan Invitational,"Apr 12, 2024"
,"Clawson, Ian",SO-2,50.19m,"164' 8""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Clawson, Ian",SO-2,50.12m,"164' 5""",Jim Duncan Invitational,"Apr 12, 2024"
,"Clawson, Ian",SO-2,50.09m,"164' 4""",Jim Duncan Invitational,"Apr 12, 2024"
,"Clawson, Ian",SO-2,49.76m,"163' 3""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Clawson, Ian",SO-2,49.76m,"163' 3""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Clawson, Ian",SO-2,49.70m,"163' 1""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Bean, Garret",JR-3,49.03m,"160' 10""",Augustana College Midwest Final Qualifier,"May 15, 2024"
,"Clawson, Ian",SO-2,48.96m,"160' 7""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Clawson, Ian",SO-2,48.88m,"160' 4""",Central College Dutch Invitational 2024,"Mar 28, 2024"
,"Clawson, Ian",SO-2,48.79m,"160' 1""",Jim Duncan Invitational,"Apr 12, 2024"
,"Bean, Garret",JR-3,48.65m,"159' 7""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Clawson, Ian",SO-2,48.62m,"159' 6""",Augustana College Midwest Final Qualifier,"May 15, 2024"
,"Clawson, Ian",SO-2,48.24m,"158' 3""",Central College Dutch Invitational 2024,"Mar 28, 2024"
,"Clawson, Ian",SO-2,48.15m,"158' 0""",Jim Duncan Invitational,"Apr 12, 2024"
,"Clawson, Ian",SO-2,48.10m,"157' 10""",Cornell Invitational,"Apr 6, 2024"
,"Clawson, Ian",SO-2,48.01m,"157' 6""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Clawson, Ian",SO-2,47.40m,"155' 6""",Cornell Invitational,"Apr 6, 2024"
,"Clawson, Ian",SO-2,47.14m,"154' 8""",Cornell Invitational,"Apr 6, 2024"
,"Bean, Garret",JR-3,47.10m,"154' 6""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Bean, Garret",JR-3,47.05m,"154' 4""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Bean, Garret",JR-3,46.97m,"154' 1""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Bean, Garret",JR-3,46.75m,"153' 4""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Clawson, Ian",SO-2,46.68m,"153' 2""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Bean, Garret",JR-3,46.62m,"152' 11""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Bean, Garret",JR-3,46.47m,"152' 5""",Cornell Invitational,"Apr 6, 2024"
,"Bean, Garret",JR-3,46.19m,"151' 6""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Bean, Garret",JR-3,46.05m,"151' 1""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Bean, Garret",JR-3,45.80m,"150' 3""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Bean, Garret",JR-3,45.60m,"149' 7""",Augustana College Midwest Final Qualifier,"May 15, 2024"
,"Bean, Garret",JR-3,45.41m,"149' 0""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Bean, Garret",JR-3,44.99m,"147' 7""",Augustana College Midwest Final Qualifier,"May 15, 2024"
,"Clawson, Ian",SO-2,44.82m,"147' 0""",Cornell Invitational,"Apr 6, 2024"
,"Bean, Garret",JR-3,44.48m,"145' 11""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Bean, Garret",JR-3,44.15m,"144' 10""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Bean, Garret",JR-3,43.43m,"142' 6""",Cornell Invitational,"Apr 6, 2024"
,"Bean, Garret",JR-3,41.17m,"135' 1""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Bean, Garret",JR-3,40.38m,"132' 6""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Bean, Garret",JR-3,40.38m,"132' 6""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Bell, Jake",FR-1,39.43m,"129' 4""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Bell, Jake",FR-1,38.65m,"126' 10""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Bell, Jake",FR-1,37.96m,"124' 6""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Bell, Jake",FR-1,37.81m,"124' 0""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Bean, Garret",JR-3,37.39m,"122' 8""",Cornell Invitational,"Apr 6, 2024"
,"Bell, Jake",FR-1,37.12m,"121' 9""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Bell, Jake",FR-1,34.24m,"112' 4""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Bean, Garret",JR-3,33.73m,"110' 8""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Bell, Jake",FR-1,32.74m,"107' 5""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Bell, Jake",FR-1,31.96m,"104' 10""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Bell, Jake",FR-1,31.42m,"103' 1""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Bell, Jake",FR-1,31.41m,"103' 1""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Bell, Jake",FR-1,30.26m,"99' 3""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Bell, Jake",FR-1,30.09m,"98' 9""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
