Stat,Value,Player/Opponent
Rushes,21.0,Cody Weber vs Carroll University (11/5/2011)
Yards Rushing,127.0,Cody Weber vs Beloit College (10/1/2011)
TD Rushes,2.0,Mike McCabe vs Lake Forest College (9/24/2011)
,2.0,Cody Weber vs Knox College (10/8/2011)
,2.0,Cody Weber vs Carroll University (11/5/2011)
,2.0,Cody Weber vs Beloit College (10/1/2011)
Long Rush,36.0,Jason Peters vs Knox College (10/8/2011)
Pass Attempts,54.0,Mike McCabe vs St. Norbert College (10/22/2011)
,54.0,Jimmy Borrasso vs Illinois College (10/29/2011)
Pass Completions,34.0,Mike McCabe vs St. Norbert College (10/22/2011)
Yards Passing,470.0,Mike McCabe vs St. Norbert College (10/22/2011)
TD Passes,5.0,Mike McCabe vs Lake Forest College (9/24/2011)
Longest Pass,78.0,Mike McCabe vs Macalester (9/3/2011)
,78.0,Mike McCabe vs Beloit College (10/1/2011)
Receptions,14.0,Robert Seer vs St. Norbert College (10/22/2011)
Yards Receiving,204.0,Robert Seer vs St. Norbert College (10/22/2011)
TD Receptions,3.0,Robert Seer vs Monmouth College (9/10/2011)
,3.0,Robert Seer vs Lake Forest College (9/24/2011)
,3.0,Robert Seer vs Knox College (10/8/2011)
,3.0,Robert Seer vs St. Norbert College (10/22/2011)
Longest Reception,78.0,Robert Seer vs Macalester (9/3/2011)
,78.0,Trent Baker vs Beloit College (10/1/2011)
Field Goals,1.0,Logan Granera vs Macalester (9/3/2011)
,1.0,Logan Granera vs Lawrence University (10/15/2011)
Longest Field Goal,37.0,Logan Granera vs Macalester (9/3/2011)
Punts,8.0,Logan Granera vs Monmouth College (9/10/2011)
,8.0,Seth Howard vs Carroll University (11/5/2011)
Punting Average,50.2,Logan Granera vs Lawrence University (10/15/2011)
Longest Punt,79.0,Logan Granera vs Lawrence University (10/15/2011)
Longest Punt Return,24.0,Logan Granera vs Lawrence University (10/15/2011)
Longest Kickoff Return,61.0,Logan Granera vs Lake Forest College (9/24/2011)
Tackles,14.0,Drew Blumberg vs Ripon College (9/17/2011)
Tackles For Loss,3.5,Ryan Creps vs Knox College (10/8/2011)
,3.5,Brian Taylor vs Lawrence University (10/15/2011)
Interceptions,2.0,Andrew Clark vs Knox College (10/8/2011)
