Statistic,GRINNELL COLLEGE,Opponents OPP
Scoring,Scoring,Scoring
Points Per Game PPG,27.30,31.90
Total TOT,273,319
First Downs,First Downs,First Downs
Rushing RUSH,49,84
Passing PASS,125,110
Penalty PEN,17,15
Total TOT,191,209
Rushing,Rushing,Rushing
Yards Gained YDS,1007,1756
Yards Lost YDL,267,235
Attempts ATT,256,380
Average Per Attempt AVG/ATT,2.9,4.0
Avg. Per Game AVG/G,74.0,152.1
Touchdowns TDS,9,24
Total TOT,740,1521
Passing,Passing,Passing
Att-Comp-Int ATT-CMP-INT,461-252-13,336-200-11
Avg. Per Attempt AVG/ATT,6.63,7.49
Avg. Per Game AVG/G,305.60,251.60
Touchdowns TDS,29,19
Total TOT,3056,2516
Total Offense,Total Offense,Total Offense
Total Plays TOT,717,716
Avg. Per Play AVG/P,5.3,5.6
Avg. Per Game AVG/G,379.6,403.7
Total Yards TOT YDS,3796,4037
Touchdowns TDS,38,44
Returns,Returns,Returns
Kickoff: Average KO: AVG,16.82,15.07
Kickoff: Total KO: TOT,45-757,43-648
Punt: Average P: AVG,9.06,5.09
Punt: Total P: TOT,17-154,11-56
INT: Average INT: AVG,0.82,11.31
INT: Total INT: TOT,11-9,13-147
Kicking,Kicking,Kicking
Punt: Avg. Yards Per Game P: AVG/G,33.46,35.68
Punt: Net Average P: Net AVG,30.63,30.95
Punt: Total Yards P: YDS,48-1606,41-1463
FG: Good-Attempts FG: FGM-FGA,2-6,5-8
Onside Kicks Onside K,2-4,0-3
Penalties,Penalties,Penalties
Avg. Per Game (YDS) AVG/G,46.50,58.90
Total-Yards TOT/YDS,52-465,68-589
Time Of Possession,Time Of Possession,Time Of Possession
Avg. Per Game AVG/G,30:22,29:08
Total TOT,05:03:41,04:51:18
Miscellaneous,Miscellaneous,Miscellaneous
3rd Down Conversions 3rd %,57-153 (37.25 %),56-136 (41.18 %)
4th Down Conversions 4th %,16-34 (47.06 %),12-25 (48.00 %)
Fumbles-Lost FUM-Lost,6-3,16-9
Sacks-Yards Lost SCK YDS,19-98,30-185
PAT: Good-Attempts PAT,31-34,34-39
Misc. Yards MISC YDS,2,21
Red Zone: Attempts-Scores RZ: ATT-Score,28-38,32-42
Red Zone: Touchdowns RZ: TDS,26-38,28-42
