Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
9/1/2012,Carleton College,L,14-20,5,0,0,0,0,0,0,2,1,2,0,0,0
9/8/2012,Illinois College,L,20-53,2,2,13,2,1,1,0,0,0,0,0,0,0
9/15/2012,Lake Forest College,L,7-33,2,1,7,1,0,1,0,0,0,0,1,0,0
9/22/2012,Beloit College,W,13-7,3,1,3,0,0,0,1,1,0,1,0,0,0
10/6/2012,Monmouth College,W,21-7,2,2,14,2,0,2,0,0,0,0,0,0,0
10/13/2012,Ripon College,L,21-37,2,2,10,1,0,1,1,0,0,0,0,0,0
10/20/2012,Carroll University,L,20-21,1,1,7,1,0,1,0,0,0,0,0,0,0
10/27/2012,Lawrence University,L,14-24,2,1,7,1,0,1,0,1,0,0,0,0,0
11/3/2012,St. Norbert College,L,12-20,2,1,3,0,0,0,1,0,0,0,1,0,0
11/10/2012,Cornell College,L,27-32,4,2,13,2,1,1,0,1,1,0,0,0,0
,TOTALS,,,25,13,77,10,2,8,3,5,2,3,2,0,0
