#,Player,GP,ATT,Gain,Loss,Net,AVG,TD,Long,AVG/G,Bio Link
28.0,"Schaid, TJ 28 Schaid, TJ",10,177,619,49,570,3.2,1,39,57.0,View Bio
7.0,"Poulos, Sam 7 Poulos, Sam",10,122,366,274,92,0.8,2,51,9.2,View Bio
,"Morrissette, Ba  Morrissette, Ba",9,30,73,22,51,1.7,0,12,5.67,
5.0,"Weber, Cody 5 Weber, Cody",5,5,7,4,3,0.6,0,4,0.6,View Bio
24.0,"Reynolds, Daniel 24 Reynolds, Daniel",7,2,2,0,2,1.0,0,1,0.29,View Bio
14.0,"Meixler, Jacob 14 Meixler, Jacob",9,1,0,2,-2,-2.0,0,0,-0.22,View Bio
12.0,"Fisher, Graham 12 Fisher, Graham",10,2,0,23,-23,-11.5,0,0,-2.3,View Bio
,Team  Team,6,8,0,67,-67,-8.4,0,0,-11.17,
,Total,10,347,1067,441,626,1.8,3,51,62.6,
,Opponents,10,404,1948,279,1669,4.1,17,60,166.9,
