Date,Opponent,Tackles,Tackles,Tackles,Tackles,Tackles,Sacks,Sacks,Fumble,Fumble,Fumble,INT,INT,QBH,Pass Brup,Blkd Kick,SAF
Date,Opponent,Solo,AST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
9/12/2015,Beloit College,32,56,88,3.0,6,0.0,0,2,2,0,0,0,0,2,1,0
9/19/2015,Luther College,31,32,63,4.0,9,0.0,0,3,4,0,0,0,0,1,1,0
9/26/2015,Macalester,55,18,73,6.0,15,0.0,0,1,0,0,0,0,0,1,0,0
10/3/2015,Lawrence University,31,50,81,6.0,30,2.0,20,2,1,0,0,0,0,2,0,0
10/10/2015,Cornell College,40,46,86,2.0,2,0.0,0,0,0,0,0,0,0,1,2,0
10/17/2015,Illinois College,38,66,104,2.0,20,0.0,0,2,1,0,0,0,0,3,1,0
10/24/2015,Knox College,27,76,103,2.0,8,0.0,0,0,0,0,0,0,0,0,1,0
10/31/2015,Monmouth College,32,36,68,2.0,16,1.0,5,0,0,0,0,0,0,0,0,0
11/7/2015,Lake Forest College,38,20,58,2.0,6,0.0,0,1,1,0,0,0,0,4,0,0
11/14/2015,Lawrence University,38,34,72,4.0,21,1.0,7,0,0,0,1,20,0,5,0,0
