#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
54,"Slager, Ryan 54 Slager, Ryan",10,52,102,154.0,5.5-15,1.5-4,0,2,0,2,2,0,0,View Bio
10,"Pavoni, Vinny 10 Pavoni, Vinny",10,35,45,80.0,2.5-3,0-0,0,3,0,0,0,0,0,View Bio
11,"Thompson, Hassan 11 Thompson, Hassan",10,17,56,73.0,8.5-20,2.5-10,0,0,1,1,0,0,0,View Bio
16,"Hoover, Kent 16 Hoover, Kent",9,34,31,65.0,2.5-3,0-0,0,1,0,0,0,0,0,View Bio
3,"Coleman, DJ 3 Coleman, DJ",10,11,46,57.0,5.5-21,0.5-2,0,0,1,0,0,0,0,View Bio
4,"Keele, Jeff 4 Keele, Jeff",10,8,37,45.0,2.0-5,0.5-2,0,1,0,1,0,0,0,View Bio
45,"Johnson, Rick 45 Johnson, Rick",8,13,21,34.0,4.5-23,1.5-12,0,1,1,0,1,0,0,View Bio
25,"Knowlton, Brad 25 Knowlton, Brad",10,9,23,32.0,1.0-9,1.0-9,0,0,0,0,0,0,0,View Bio
35,"Ogasawara, Ibuki 35 Ogasawara, Ibuki",10,21,10,31.0,1.0-2,0-0,0,8,0,0,0,0,0,View Bio
33,"Howard, Luke 33 Howard, Luke",10,6,23,29.0,1.0-2,0-0,0,0,0,0,0,0,0,View Bio
26,"Lim, Ben 26 Lim, Ben",7,12,14,26.0,1.5-6,0-0,0,3,0,0,0,0,0,View Bio
28,"Galaske, Joe 28 Galaske, Joe",8,11,14,25.0,2.5-5,0-0,1,5,0,0,0,0,0,View Bio
1,"Hill, Max 1 Hill, Max",5,12,10,22.0,0-0,0-0,1,7,0,1,0,0,0,View Bio
66,"Medrano, Matt 66 Medrano, Matt",10,1,16,17.0,2.0-14,0.5-2,0,0,0,0,1,0,0,View Bio
51,"Drexler, Riley 51 Drexler, Riley",9,2,11,13.0,0.5-1,0-0,0,0,0,0,1,0,0,View Bio
17,"Dunn, Carson 17 Dunn, Carson",10,6,6,12.0,0-0,0-0,0,0,0,0,1,0,0,View Bio
75,"Doulaveris, Zis 75 Doulaveris, Zis",6,2,6,8.0,0.5-1,0-0,0,0,0,0,0,0,0,
80,"Taylor, David 80 Taylor, David",10,4,2,6.0,0-0,0-0,0,0,0,1,0,0,0,View Bio
6,"Bernholtz, Jacob 6 Bernholtz, Jacob",8,2,2,4.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
56,"Smythurst, El 56 Smythurst, El",10,0,4,4.0,0-0,0-0,0,0,0,0,0,0,0,
2,"McGriff, Zach 2 McGriff, Zach",6,3,0,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
12,"Rivera, Seb 12 Rivera, Seb",7,2,1,3.0,0-0,0-0,0,0,0,0,0,0,0,
TM,Team TM Team,6,3,0,3.0,0-0,0-0,0,0,0,0,1,3,0,
13,"Scott, Chip 13 Scott, Chip",8,0,2,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
88,"Henderson, Erik 88 Henderson, Erik",10,1,0,1.0,0-0,0-0,0,0,0,0,0,1,0,View Bio
77,"Lahn, Ethan 77 Lahn, Ethan",10,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
65,"Riley, Cole 65 Riley, Cole",10,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
,Total,10,267,484,751.0,41.0-130,8.0-41,2,31,3,6,7,4,0,
,Opponents,10,261,590,851.0,81.0-296,22.0-113,13,41,5,11,9,3,1,
