Opponent,Score,First Downs,First Downs,First Downs,First Downs,Rushing,Passing,Passing,Plays-Yards,Return Yards,Turnovers
Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return Yards,Turnovers
Lawrence University,13-20,16/16,4/10,10/5,2/1,36-90 / 44-219,18-34-0 / 9-19-1,210/96,70-300 / 63-315,47/95,2/2
Trinity Bible Coll.,46-0,23/4,19/1,4/3,0/0,51-320 / 23--25,10-22-0 / 9-22-1,124/59,73-444 / 45-34,28/120,0/1
St. Norbert College,0-91,4/28,1/22,3/6,0/0,37--18 / 50-372,9-26-2 / 8-11-0,67/102,63-49 / 61-474,23/160,6/2
Ripon College,53-7,9/25,4/21,4/3,1/1,38-83 / 55-344,9-21-4 / 5-13-1,112/99,59-195 / 68-443,145/132,8/2
Monmouth College,0-55,13/22,2/14,7/8,4/0,39--16 / 44-363,14-29-0 / 15-22-0,143/215,68-127 / 66-578,59/43,0/0
Knox College,28-7,16/17,5/7,8/10,3/0,32-17 / 38-154,21-46-0 / 19-36-0,170/178,78-187 / 74-332,42/72,0/0
Lake Forest College,24-0,13/19,2/7,8/12,3/0,31-39 / 41-215,23-43-1 / 20-37-0,134/196,74-173 / 78-411,33/81,2/1
Illinois College,14-55,17/27,4/13,11/13,2/1,36-74 / 44-197,17-38-3 / 24-32-1,192/303,74-266 / 76-500,170/47,5/1
Cornell College,23-13,15/10,8/5,6/5,1/0,41-103 / 45-84,13-24-1 / 8-17-0,238/172,65-341 / 62-256,123/32,2/0
Beloit,31-41,22/16,11/6,10/9,1/1,46-251 / 32-103,11-28-1 / 17-41-3,230/174,74-481 / 73-277,159/163,2/3
