Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/4/2021,Grinnell College,25,116,3,31,31,402,4,50,402,4,50,2,5,0,4,0,0,0,0
09/11/2021,Grinnell,31,236,2,75,14,248,4,68,248,4,68,2,-3,0,0,1,8,0,8
09/18/2021,Grinnell,26,82,1,19,20,225,3,29,225,3,29,3,66,0,31,1,62,0,62
10/2/2021,Grinnell,27,66,0,29,5,54,2,41,54,2,41,7,95,0,25,0,0,0,0
10/09/2021,Grinnell,30,417,5,79,8,152,2,63,152,2,63,1,17,0,17,3,16,0,9
10/16/2021,Grinnell,52,392,7,69,1,32,0,32,32,0,32,4,46,0,22,1,0,0,0
10/23/2021,Grinnell,38,198,4,51,21,434,7,62,434,7,62,1,3,0,3,3,28,0,20
10/30/2021,Grinnell,46,454,7,65,10,259,4,66,259,4,66,1,29,0,29,3,6,0,4
11/06/2021,Grinnell,33,198,4,37,22,300,4,46,300,4,46,4,88,0,33,0,0,0,0
11/13/2021,Grinnell College,43,225,2,47,12,153,3,33,153,3,33,2,55,0,35,1,0,0,0
