#,Player,GP,NO,YDS,AVG,TD,Long,AVG/G,Bio Link
5.0,"Saia, Dustin 5 Saia, Dustin",10,53,797,15.04,6,53,79.7,View Bio
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",10,43,647,15.05,4,74,64.7,View Bio
33.0,"Carter, Danny 33 Carter, Danny",10,22,111,5.05,0,17,11.1,View Bio
11.0,"Burton, Clayton 11 Burton, Clayton",10,8,75,9.38,0,20,7.5,View Bio
44.0,"Jordan, Nat 44 Jordan, Nat",10,3,25,8.33,1,17,2.5,View Bio
24.0,"Quirk, Danny 24 Quirk, Danny",8,2,15,7.5,0,8,1.88,View Bio
7.0,"Morri, Ricky 7 Morri, Ricky",9,1,9,9.0,0,9,1.0,View Bio
1.0,"Baird, Henry 1 Baird, Henry",5,1,8,8.0,0,8,1.6,View Bio
35.0,"Bean, Garret 35 Bean, Garret",9,3,7,2.33,0,5,0.78,View Bio
12.0,"Hootstein, Avery 12 Hootstein, Avery",9,0,0,,0,0,0.0,View Bio
28.0,"Stefan, Luke 28 Stefan, Luke",10,0,0,,0,0,0.0,View Bio
50.0,"Skinner, Landon 50 Skinner, Landon",9,1,-1,-1.0,0,0,-0.11,View Bio
,Total,10,137,1693,12.36,11,74,169.3,
,Opponents,10,144,2259,15.69,33,68,225.9,
