Stat,Value,Player/Opponent
Rushes,16.0,"Woodhouse,Grayson vs Lyon (09/04/2023)"
,16.0,"Quirk,Daniel vs Illinois Col. (10/28/2023)"
Yards Rushing,67.0,"Woodhouse,Grayson vs Beloit (09/16/2023)"
TD Rushes,2.0,"Woodhouse,Grayson vs Beloit (09/16/2023)"
Long Rush,44.0,"Woodhouse,Grayson vs Beloit (09/16/2023)"
Pass Attempts,38.0,"Woodhouse,Grayson vs Lyon (09/04/2023)"
Pass Completions,19.0,"Woodhouse,Grayson vs Lyon (09/04/2023)"
Yards Passing,238.0,"Woodhouse,Grayson vs Beloit (09/16/2023)"
TD Passes,3.0,"Woodhouse,Grayson vs Lawrence (09/30/2023)"
Longest Pass,81.0,"Woodhouse,Grayson vs Beloit (09/16/2023)"
Receptions,11.0,"Rhinehart,Nick vs Cornell College (11/11/2023)"
Yards Receiving,153.0,"Rhinehart,Nick vs Cornell College (11/11/2023)"
TD Receptions,2.0,"Rhinehart,Nick vs Cornell College (11/11/2023)"
Longest Reception,81.0,"Wilson,Garrett vs Beloit (09/16/2023)"
Field Goals,1.0,"Gerrald,Grant vs Lyon (09/04/2023)"
Longest Field Goal,31.0,"Gerrald,Grant vs Lyon (09/04/2023)"
Punts,11.0,"Rhinehart,Nick vs Lake Forest (10/14/2023)"
Punting Average,52.0,"Rhinehart,Nick vs Lawrence (09/30/2023)"
Longest Punt,73.0,"Gerrald,Grant vs Lyon (09/04/2023)"
Longest Kickoff Return,26.0,"Fitzgerald,Keaton vs UChicago (11/04/2023)"
,26.0,"Fitzgerald,Keaton vs Cornell College (11/11/2023)"
Tackles,26.0,"Werner,Hugh vs Knox (10/21/2023)"
Sacks,2.5,"Lawrence,TJ vs Lawrence (09/30/2023)"
,2.5,"Lawrence,TJ vs Beloit (09/16/2023)"
Interceptions,1.0,"Johnson,Tim vs Ripon (09/09/2023)"
,1.0,"Johanson,Kevin vs Lawrence (09/30/2023)"
,1.0,"O'Malley,Finn vs Lawrence (09/30/2023)"
,1.0,"Johanson,Kevin vs Knox (10/21/2023)"
,1.0,"Johanson,Kevin vs Lake Forest (10/14/2023)"
,1.0,"Werner,Hugh vs Lake Forest (10/14/2023)"
