Statistic,GRINNELL,Opponents OPP
Scoring,Scoring,Scoring
Points Per Game PPG,13.80,41.00
Total TOT,138,410
First Downs,First Downs,First Downs
Rushing RUSH,43,115
Passing PASS,72,112
Penalty PEN,22,16
Total TOT,137,243
Rushing,Rushing,Rushing
Yards Gained YDS,1066,2227
Yards Lost YDL,449,240
Attempts ATT,315,411
Average Per Attempt AVG/ATT,2.0,4.8
Avg. Per Game AVG/G,61.7,198.7
Touchdowns TDS,7,23
Total TOT,617,1987
Passing,Passing,Passing
Att-Comp-Int ATT-CMP-INT,270-140-7,304-190-6
Avg. Per Attempt AVG/ATT,6.17,8.34
Avg. Per Game AVG/G,166.60,253.40
Touchdowns TDS,12,29
Total TOT,1666,2534
Total Offense,Total Offense,Total Offense
Total Plays TOT,585,715
Avg. Per Play AVG/P,3.9,6.3
Avg. Per Game AVG/G,228.3,452.1
Total Yards TOT YDS,2283,4521
Touchdowns TDS,20,56
Returns,Returns,Returns
Kickoff: Average KO: AVG,12.79,10.63
Kickoff: Total KO: TOT,28-358,24-255
Punt: Average P: AVG,0.00,14.61
Punt: Total P: TOT,2-0,18-263
INT: Average INT: AVG,21.33,8.00
INT: Total INT: TOT,6-128,7-56
Kicking,Kicking,Kicking
Punt: Avg. Yards Per Game P: AVG/G,33.44,29.57
Punt: Net Average P: Net AVG,28.80,27.83
Punt: Total Yards P: YDS,61-2040,23-680
FG: Good-Attempts FG: FGM-FGA,1-4,6-10
Onside Kicks Onside K,0-2,0-0
Penalties,Penalties,Penalties
Avg. Per Game (YDS) AVG/G,39.20,60.40
Total-Yards TOT/YDS,44-392,64-604
Time Of Possession,Time Of Possession,Time Of Possession
Avg. Per Game AVG/G,29:05,30:53
Total TOT,04:50:53,05:08:47
Miscellaneous,Miscellaneous,Miscellaneous
3rd Down Conversions 3rd %,38-133 (28.57 %),60-128 (46.88 %)
4th Down Conversions 4th %,8-25 (32.00 %),11-26 (42.31 %)
Fumbles-Lost FUM-Lost,16-8,17-6
Sacks-Yards Lost SCK YDS,22-139,18-158
PAT: Good-Attempts PAT,11-15,48-51
Misc. Yards MISC YDS,3,8
Red Zone: Attempts-Scores RZ: ATT-Score,15-25,39-49
Red Zone: Touchdowns RZ: TDS,15-25,33-49
