Date,Opponent,Result,Score,Record,Duration,Attendance
09/07/2024,vs Lyon,L,28-48,"0-1 , 0-0",03:14,521
09/14/2024,at Ripon,L,19-23,"0-2 , 0-1",03:02,1600
09/21/2024,vs Beloit,L,7-16,"0-3 , 0-2",02:34,691
10/5/2024,at Lawrence University,W,17-14,"1-3 , 1-2",2:40,927
10/12/2024,vs Monmouth (IL),L,7-49,"1-4 , 1-3",02:30,421
10/19/2024,vs Lake Forest,L,22-42,"1-5 , 1-4",02:49,402
10/26/2024,at Knox,W,21-14,"2-5 , 2-4",02:13,1479
11/02/2024,vs Illinois Col.,L,14-56,"2-6 , 2-5",02:59,426
11/09/2024,at UChicago,L,6-42,"2-7 , 2-6",02:14,423
11/16/2024,at Cornell College,L,7-26,"2-8 , 2-7",02:27,1030
,,,,,,7920
