Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
09/07/2024,Lyon,5,122,24.4,37,0,0,1,0,0,0-1,0,0,5,181,36.2,0,0
09/14/2024,Ripon,3,99,33.0,39,0,0,1,0,0,0-1,0,0,4,192,48.0,1,0
09/21/2024,Beloit,6,129,21.5,35,0,0,1,0,0,0-0,0,0,3,154,51.33,2,1
10/5/2024,Lawrence University,2,71,35.5,37,0,0,0,0,0,1-2,31,0,4,193,48.25,0,2
10/12/2024,Monmouth (IL),9,351,39.0,45,0,0,2,0,0,0-0,0,0,2,48,24.0,0,0
10/19/2024,Lake Forest,6,234,28.2,63,0,0,2,2,1,0-0,0,0,3,82,27.33,0,0
10/26/2024,Knox,5,213,42.6,64,0,1,0,2,3,0-0,0,0,4,159,39.75,0,0
11/02/2024,Illinois Col.,7,235,33.6,50,0,1,0,1,1,0-0,0,0,3,106,35.33,0,0
11/09/2024,UChicago,4,144,36.0,55,0,0,1,1,2,0-0,0,0,1,45,45.0,0,0
11/16/2024,Cornell College,5,163,32.6,43,0,0,1,0,0,0-0,0,0,2,90,45.0,0,0
