0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Peter Marsho,13,1002,74,-,7,-,2,2,+5,77.1,-,-,-
Jared Dye,13,1085,79,-,7,-,-,-,+12,83.5,-,-,-
Jon Cohen,13,1092,76,-,7,-,-,-,+12,84.0,-,-,-
Ian Luby,15,1268,77,-,8,-,-,-,+13,84.5,-,-,-
James Borrasso,11,930,78,-,6,-,-,-,+13,84.5,-,-,-
Ethan Kenvarg,5,430,81,-,3,-,-,-,+14,86.0,-,-,-
Chris Marsho,13,1118,78,-,7,-,-,-,+14,86.0,-,-,-
Logan Granera,3,266,87,-,2,-,-,-,+17,88.7,-,-,-
Rockne Decoster,2,186,89,-,1,-,-,-,+21,93.0,-,-,-
Max Herzberg,2,198,97,-,1,-,-,-,+27,99.0,-,-,-
Travis Palmer,5,495,90,-,3,-,-,-,+27,99.0,-,-,-
Jack Adams,-,-,-,-,-,-,-,-,-,-,-,-,-
FOUR-PLAYER TEAM,15,4949,311,-,8,-,2,2,+43,329.9,,,
