0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Simpson Invitational,"Sept. 22, 2021",1,82,+11,t-19th/62
Knox Fall Invitational,"Oct 2-3, 2021",2,85-88=173,+29,34th/41
Central Fall Classic,"Oct 4-5, 2021",2,96-93=189,+45,65th/74
Grinnell vs. Pima CC,"March 23, 2022",1,94,+24,13th/14
Jim Wetherbee Memorial,"Mar 26-27, 2022",2,97-93=190,+46,113th/120
Wartburg Spring Invitational,"Apr 1, 2022",1,78,+7,t-47th/88
Iowa Central Spring Invite,"Apr 9-10, 2022",2,89-86=175,+33,5th/59
The Verhille Invitational,"Apr 21, 2022",1,95,+23,t-97th/102
SEASON TOTALS,SEASON TOTALS,12,1076 Avg. 89.7,+18,-
