0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Simpson Invitational,"Sept. 22, 2021",1,83,+12,t-27th/62
Knox Fall Invitational,"Oct 2-3, 2021",2,86-90=176,+32,t-35th/41
Central Fall Classic,"Oct 4-5, 2021",2,83-90=173,+29,t-35th/74
Grinnell vs. Pima CC,"March 23, 2022",1,83,+13,11th/14
Jim Wetherbee Memorial,"Mar 26-27, 2022",2,83-77=160,+16,t-40th/120
Wartburg Spring Invitational,"Apr 1, 2022",1,79,+8,t-52nd/88
Iowa Central Spring Invite,"Apr 9-10, 2022",2,75-83=158,+16,3rd/59
The Verhille Invitational,"Apr 21, 2022",1,89,+17,t-85th/102
2022 SLIAC Championships,"Apr 25-26, 2022",3,81-80-75=236,+20,t-14th/54
SEASON TOTALS,SEASON TOTALS,15,1237 Avg. 82.5,+11,-
