0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Eshaan Sethi,13,1033,75,-,8,-,1,1,+8,79.5,13,1033,79.5
Hayden Somach,15,1197,71,1,9,1,2,4,+8,79.8,15,1197,79.8
Luke McCann,15,1217,77,-,9,-,1,2,+10,81.1,15,1217,81.1
Evan Borberg,1,82,82,-,1,-,-,-,+11,82.0,1,82,82.0
Kevin Carpenter,15,1237,75,-,9,-,1,1,+11,82.5,15,1237,82.5
Ian Strawn,13,1089,77,-,8,-,-,1,+12,83.8,17,1435,84.4
Josh Witte,1,88,88,-,1,-,-,-,+17,88.0,1,88,88.0
John Robinson,8,709,76,-,6,-,1,1,+17,88.6,8,709,88.6
Ben Schwartz,3,267,84,-,2,-,-,-,+17,89.0,3,267,89.0
Brody Barton,12,1076,78,-,8,-,1,1,+18,89.7,18.5,1694,91.6
Alex Love,1,91,91,-,1,-,-,-,+20,91.0,3.5,315,90.0
Lukas Roscoe,5,487,89,-,4,-,-,-,+26,97.4,5,487,97.4
FOUR-PLAYER TEAM,15,4840,307,1,9,1,7,11,+36,322.7,,,
