0,1,2,3,4,5,6,7
Tournament,Dates,Rounds,Place,Teams,Players,Par,Score
Simpson Invitational,"Sept. 22, 2021",1,7,11,62,+47,331
Knox Fall Invitational,"Oct 2-3, 2021",2,6,7,41,+75,651
Central Fall Classic,"Oct 4-5, 2021",2,8,13,74,+99,675
Grinnell vs. Pima CC,"March 23, 2022",1,2,2,14,+34,314
Jim Wetherbee Memorial,"Mar 26-27, 2022",2,12,21,120,+67,643
Wartburg Spring Invitational,"Apr 1, 2022",1,12,15,88,+34,318
Iowa Central Spring Invite,"Apr 9-10, 2022",2,5,9,59,+55,623
The Verhille Invitational,"Apr 21, 2022",1,11,16,102,+37,325
2022 SLIAC Championships,"Apr 25-26, 2022",3,7,11,54,+96,960
