#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
11.0,"Brown, Joseph 11Brown, Joseph",9,8,377,3,1,7,23,0.13,13,0.565,0-0,0,0-0,View Bio
2.0,"Susac, Bozo 2Susac, Bozo",8,6,246,2,2,6,7,0.286,4,0.571,1-0,0,0-0,View Bio
23.0,"Charney, Benjamin 23Charney, Benjamin",3,0,29,2,1,5,2,1.0,2,1.0,0-0,1,0-0,View Bio
7.0,"Decoster, Rockne 7Decoster, Rockne",9,3,233,2,1,5,13,0.154,9,0.692,0-0,0,0-0,View Bio
9.0,"Kashef, Omeed 9Kashef, Omeed",6,3,201,2,1,5,11,0.182,9,0.818,2-0,1,0-0,View Bio
19.0,"Wright, Evan 19Wright, Evan",9,9,532,2,1,5,21,0.095,11,0.524,1-0,0,0-0,View Bio
21.0,"Caron, Reed 21Caron, Reed",9,7,372,1,2,4,11,0.091,7,0.636,0-0,0,0-0,View Bio
17.0,"Kessner, Charlie 17Kessner, Charlie",9,5,295,1,1,3,12,0.083,8,0.667,0-0,1,0-0,View Bio
1.0,"Schemper, Ben 1Schemper, Ben",7,1,148,1,1,3,2,0.5,1,0.5,0-0,0,0-0,View Bio
10.0,"Meyer, Elliot 10Meyer, Elliot",8,2,206,1,0,2,4,0.25,3,0.75,0-0,0,0-0,View Bio
16.0,"Warner, Benjamin 16Warner, Benjamin",9,0,285,0,2,2,6,0.0,5,0.833,0-0,0,0-0,View Bio
8.0,"Botto, Marshall 8Botto, Marshall",8,2,213,0,1,1,5,0.0,3,0.6,1-0,0,0-0,View Bio
20.0,"Ward, Connor 20Ward, Connor",9,9,414,0,1,1,10,0.0,5,0.5,0-0,0,0-0,View Bio
3.0,"Bolinger, Alex 3Bolinger, Alex",1,0,0,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
26.0,"Brost, Daryl 26Brost, Daryl",1,0,29,0,0,0,3,0.0,1,0.333,1-0,0,0-0,View Bio
12.0,"Brown, Jerry 12Brown, Jerry",4,2,121,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
15.0,"Bulman, Jeremy 15Bulman, Jeremy",2,0,14,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
22.0,"Bush, Trenton 22Bush, Trenton",8,4,302,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
24.0,"Dreier, Jay 24Dreier, Jay",9,8,368,0,0,0,2,0.0,1,0.5,0-0,0,0-0,View Bio
5.0,"Eng, Lukas 5Eng, Lukas",9,4,229,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
0.0,"Fox, Greg 00Fox, Greg",8,8,371,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
25.0,"Graves, Christopher 25Graves, Christopher",4,0,82,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
6.0,"Milian, Uriel 6Milian, Uriel",2,0,11,0,0,0,0,0.0,0,0.0,0-0,0,0-0,
27.0,"Neil, Thomas 27Neil, Thomas",4,0,75,0,0,0,0,0.0,0,0.0,1-0,0,0-0,View Bio
13.0,"Olsen, Lars 13Olsen, Lars",9,9,508,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
14.0,"Rojas, Leonardo 14Rojas, Leonardo",1,0,11,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
18.0,"Singer, Gabe 18Singer, Gabe",1,0,14,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
31.0,"Tyree, Isaiah 31Tyree, Isaiah",3,0,60,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
4.0,"Winichakul, Kanatip 4Winichakul, Kanatip",9,9,533,0,0,0,3,0.0,2,0.667,0-0,0,0-0,
,Total,9,-,6279,17,15,49,137,0.124,86,0.628,10-0,3,0-0,
,Opponent,9,-,6367,17,14,48,115,0.148,72,0.626,19-2,5,0-0,
