Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
8/31/2012,vs Coe College,5-1,5/1,0/1,17/14,11/10,4/3,1/1,0/0
9/2/2012,vs Central College,2-2,2/2,1/1,10/16,3/7,5/3,3/2,0/0
9/5/2012,vs Simpson College,0-2,0/2,0/1,6/18,3/5,4/12,0/1,0/0
9/9/2012,at UWP,1-2,1/2,1/2,4/18,3/7,1/3,0/3,0/0
9/15/2012,at Lake Forest,0-1,0/1,0/0,12/11,6/3,2/4,0/1,0/0
9/16/2012,at Carroll University,0-2,0/2,0/2,5/12,4/5,3/2,1/0,0/0
9/22/2012,vs Illinois College,2-1,2/1,1/0,15/8,5/5,3/1,0/2,0/0
9/23/2012,at Buena Vista Univ.,2-0,2/0,1/0,13/5,5/1,8/4,0/0,0/0
9/26/2012,vs Univ. of Dubuque,0-4,0/4,0/2,6/18,4/14,5/6,0/0,0/0
9/29/2012,vs Knox College,4-1,4/1,1/0,17/4,8/5,6/6,1/2,0/0
9/30/2012,vs Cornell College,4-0,4/0,5/0,22/3,6/1,10/1,0/1,0/0
10/6/2012,at Beloit College,1-2,1/2,0/2,10/16,6/10,10/2,0/1,0/0
10/16/2012,vs St. Mary's Univ.,3-1,3/1,2/0,12/9,6/6,3/5,0/3,0/0
10/20/2012,vs Lawrence University,1-0,1/0,1/0,15/10,9/5,7/2,2/3,0/0
10/21/2012,vs St. Norbert College,0-1,0/1,0/0,15/9,9/7,2/3,0/0,0/0
10/27/2012,at Monmouth College,5-1,5/1,6/0,16/7,14/6,3/3,0/0,0/0
10/28/2012,vs Ripon College,2-1,2/1,2/0,16/10,11/6,5/3,0/1,0/0
11/2/2012,at Lake Forest,0-1,0/1,0/1,7/9,5/5,1/7,2/1,0/0
Totals,,,32/23,21/12,218/197,118/108,82/70,10/22,0/0
