Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2015,at Simpson,1-2,1,1,3,7,0.143,4,0.571,0-0,0,0-0,1097
9/4/2015,vs Crown College,5-0,5,6,16,26,0.192,15,0.577,2-0,1,0-0,1016
9/9/2015,"at Dubuque, Univ. of",0-1,0,0,0,6,0.0,2,0.333,2-0,0,0-0,1001
9/12/2015,at Carleton College,0-1,0,0,0,4,0.0,2,0.5,3-1,0,0-0,1013
9/13/2015,at Hamline University,0-1,0,0,0,2,0.0,2,1.0,2-0,0,0-0,1028
9/15/2015,at Cornell College,2-0,2,1,5,16,0.125,10,0.625,1-0,1,1-1,1157
9/16/2015,vs Buena Vista,4-0,4,3,11,16,0.25,9,0.563,1-0,1,0-0,746
9/19/2015,at Knox College,2-3,2,1,5,8,0.25,5,0.625,0-0,0,0-0,979
9/26/2015,vs Ripon,5-0,5,2,12,21,0.238,14,0.667,1-0,1,0-0,1023
10/3/2015,vs Lake Forest,1-2,1,0,2,7,0.143,5,0.714,2-0,0,0-0,1040
10/4/2015,vs Carroll University,3-1,3,2,8,10,0.3,5,0.5,0-0,1,0-0,0
10/10/2015,vs Monmouth (IL),1-0,1,1,3,9,0.111,8,0.889,0-0,1,0-0,1048
10/17/2015,at Lawrence University,1-0,1,0,2,16,0.063,9,0.563,2-0,1,0-0,1034
10/18/2015,at St. Norbert College,1-2,1,2,4,8,0.125,0,0.0,1-0,0,0-0,0
10/24/2015,at Illinois College,3-2,3,4,10,15,0.2,6,0.4,0-0,1,0-0,1089
10/29/2015,vs Coe,3-0,3,1,7,12,0.25,11,0.917,0-0,1,0-0,1085
10/31/2015,vs Beloit,10-0,10,6,26,25,0.4,17,0.68,1-0,1,1-1,983
Total,,42-15,42,30,114,208,0.202,124,0.596,18-1,10,2-2,15339
Opponent,,-,15,13,43,138,0.109,57,0.413,16-3,7,-,14923
