#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
8.0,"DiMarco, Antonio 8DiMarco, Antonio",19,16,1427,13,7,33,55,0.236,35,0.636,2-0,2,4-4,View Bio
6.0,"Curiskis, Artis 6Curiskis, Artis",19,17,1185,4,5,13,35,0.114,17,0.486,3-0,1,1-1,View Bio
11.0,"Sorenson, Evan 11Sorenson, Evan",19,17,1422,4,2,10,28,0.143,13,0.464,3-0,1,0-0,View Bio
12.0,"Yang, Jasper 12Yang, Jasper",18,15,1071,4,1,9,28,0.143,16,0.571,0-1,2,0-0,View Bio
10.0,"Piedrasanta, Carlos 10Piedrasanta, Carlos",13,6,816,4,0,8,27,0.148,13,0.481,0-0,2,0-0,View Bio
7.0,"Fluharty, Noah 7Fluharty, Noah",19,17,918,2,0,4,19,0.105,12,0.632,5-0,1,0-0,View Bio
3.0,"Hotchkiss, Sidney 3Hotchkiss, Sidney",7,1,197,2,0,4,10,0.2,5,0.5,0-0,0,0-0,View Bio
5.0,"Kobayashi, Mikoto 5Kobayashi, Mikoto",19,3,699,1,2,4,9,0.111,4,0.444,0-0,0,0-0,View Bio
9.0,"Buse, Kyle 9Buse, Kyle",11,9,749,0,3,3,6,0.0,2,0.333,1-0,0,0-0,View Bio
2.0,"Sanchez-Conde, Francisco 2Sanchez-Conde, Francisco",19,18,1471,1,0,2,22,0.045,9,0.409,2-0,0,0-0,View Bio
1.0,"Cloutier, Jared 1Cloutier, Jared",17,13,1128,0,1,1,0,0.0,0,0.0,1-0,0,0-0,View Bio
4.0,"Kamp, Michael 4Kamp, Michael",17,4,536,0,1,1,6,0.0,2,0.333,0-0,0,0-0,View Bio
22.0,"O'Donnell, Tommy 22O'Donnell, Tommy",8,1,241,0,1,1,1,0.0,1,1.0,0-0,0,0-0,View Bio
19.0,"Pflipsen, Thomas 19Pflipsen, Thomas",19,19,1585,0,1,1,7,0.0,3,0.429,0-0,0,0-0,View Bio
27.0,"Steinberg, Zach 27Steinberg, Zach",16,14,1247,0,1,1,4,0.0,2,0.5,1-0,0,0-0,View Bio
20.0,"Ampin-darko, Papakojo 20Ampin-darko, Papakojo",5,0,63,0,0,0,1,0.0,0,0.0,0-0,0,0-0,
29.0,"Collins, Sam 29Collins, Sam",8,6,262,0,0,0,2,0.0,1,0.5,1-0,0,0-0,View Bio
3.0,"Ewing, Leo 3Ewing, Leo",1,0,29,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
26.0,"Ferguson, Jackson 26Ferguson, Jackson",3,0,17,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
13.0,"Harroun, Nikolai 13Harroun, Nikolai",14,12,936,0,0,0,3,0.0,2,0.667,1-0,0,0-0,View Bio
24.0,"Heller, Ben 24Heller, Ben",8,1,116,0,0,0,3,0.0,0,0.0,0-0,0,0-0,View Bio
18.0,"Herzberg, Nico 18Herzberg, Nico",4,0,30,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
25.0,"Li, Jeff 25Li, Jeff",8,2,187,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
14.0,"Marin, Juan 14Marin, Juan",13,1,203,0,0,0,7,0.0,2,0.286,0-0,0,0-0,View Bio
22.0,"Miller, Zeke 22Miller, Zeke",1,0,9,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
17.0,"Naik, Sam 17Naik, Sam",17,2,429,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
0.0,"Nattinger, Michael 00Nattinger, Michael",3,1,114,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
28.0,"Paige, Eric 28Paige, Eric",3,0,34,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
23.0,"Record, Matt 23Record, Matt",6,0,127,0,0,0,7,0.0,3,0.429,0-0,0,0-0,View Bio
21.0,"Reeves, Zach 21Reeves, Zach",14,3,238,0,0,0,3,0.0,1,0.333,0-0,0,0-0,
15.0,"Ritter, Caleb 15Ritter, Caleb",12,3,336,0,0,0,3,0.0,3,1.0,0-0,0,0-0,View Bio
26.0,"Rueda, Enrique 26Rueda, Enrique",1,0,23,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
0.0,"Spicer, Michael 0Spicer, Michael",8,5,446,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
16.0,"Thal, Zach 16Thal, Zach",11,2,273,0,0,0,4,0.0,1,0.25,1-0,0,0-0,View Bio
,Total,19,-,18564,35,25,95,294,0.119,149,0.507,22-1,9,5-5,
,Opponent,19,-,17887,35,23,93,231,0.152,108,0.468,29-2,9,5-6,
