#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
10.0,"Yang, Jasper 10Yang, Jasper",8,8,676,13,4,30,41,0.317,28,0.683,0-0,3,0-1,View Bio
14.0,"Goedeker, Ray 14Goedeker, Ray",8,7,492,2,4,8,7,0.286,5,0.714,0-0,0,0-0,View Bio
8.0,"Maddux, Dylan 8Maddux, Dylan",8,5,408,2,3,7,11,0.182,6,0.545,0-0,1,0-0,View Bio
13.0,"Northing, Oliver 13Northing, Oliver",8,8,623,2,2,6,13,0.154,11,0.846,3-0,1,0-0,View Bio
24.0,"Bambi, Matias 24Bambi, Matias",8,0,209,1,2,4,5,0.2,4,0.8,0-0,0,0-0,View Bio
7.0,"Provost, Davis 7Provost, Davis",8,8,335,1,2,4,16,0.063,7,0.438,0-0,0,0-0,View Bio
11.0,"Guyton, Noah 11Guyton, Noah",8,8,599,1,1,3,12,0.083,7,0.583,1-0,0,0-0,View Bio
6.0,"Serby, Zak 6Serby, Zak",8,8,654,1,1,3,6,0.167,2,0.333,0-0,1,0-0,View Bio
20.0,"Bayliss, Sam 20Bayliss, Sam",4,0,87,1,0,2,2,0.5,1,0.5,0-0,0,0-0,View Bio
5.0,"Murphy, Peter 5Murphy, Peter",8,2,372,1,0,2,4,0.25,4,1.0,0-0,0,0-0,View Bio
9.0,"Cladouhos, Henry 9Cladouhos, Henry",7,0,209,0,1,1,7,0.0,3,0.429,0-0,0,0-0,View Bio
21.0,"Girard, Nate 21Girard, Nate",7,6,487,0,1,1,1,0.0,0,0.0,0-0,0,0-0,View Bio
19.0,"Heller, Sam 19Heller, Sam",6,0,169,0,1,1,2,0.0,1,0.5,0-0,0,0-0,View Bio
18.0,"Matsunaga, Ryota 18Matsunaga, Ryota",8,7,577,0,1,1,0,0.0,0,0.0,1-0,0,0-0,View Bio
16.0,"Angell, Oscar 16Angell, Oscar",2,0,20,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
1.0,"Benson, Carter 1Benson, Carter",8,8,645,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
25.0,"Bernardo, Antonio 25Bernardo, Antonio",5,1,148,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
27.0,"Burns, Caleb 27Burns, Caleb",3,0,65,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
4.0,"Colaiace, Theo 4Colaiace, Theo",3,0,91,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
22.0,"Hoereth, Caleb 22Hoereth, Caleb",8,7,523,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
1.0,"Kolmer, Jefferson 1Kolmer, Jefferson",4,0,73,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
23.0,"Miller, Zeke 23Miller, Zeke",4,3,273,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
17.0,"Naik, Sam 17Naik, Sam",3,2,141,0,0,0,3,0.0,2,0.667,0-0,0,0-0,View Bio
2.0,"Nihei, Braden 2Nihei, Braden",2,0,37,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
31.0,"O'Bryan, Mason 31O'Bryan, Mason",1,0,6,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
12.0,"Wilson, Owen 12Wilson, Owen",2,0,44,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
,Total,8,-,7963,25,23,73,132,0.189,82,0.621,15-1,6,0-1,
,Opponent,8,-,7933,12,7,31,66,0.182,37,0.561,26-0,2,1-3,
