Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
09/01/2023,Coe,0-2,90:00,2,2.0,2,0.5,0,1,0,0,13
9/2/2023,Eureka,2-3,90:00,3,2.5,2,0.4,0,1,0,0,13
09/05/2023,Dubuque,3-0,90:00,0,1.67,7,1.0,1,0,0,1,16
09/09/2023,Central (IA),1-1,90:00,1,1.5,6,0.857,0,0,1,0,12
09/10/2023,Webster,0-0,90:00,0,1.2,6,1.0,0,0,1,1,17
09/15/2023,Neb. Wesleyan,2-0,90:00,0,1.0,3,1.0,1,0,0,1,7
09/17/2023,Fontbonne,0-1,90:00,1,1.0,6,0.857,0,1,0,0,20
09/23/2023,Lake Forest,4-3,90:00,3,1.25,3,0.5,1,0,0,0,11
09/24/2023,Illinois Tech,1-1,90:00,1,1.22,10,0.909,0,0,1,0,17
09/27/2023,Knox,2-1,90:00,1,1.2,3,0.75,1,0,0,0,12
09/30/2023,Ripon,1-1,90:00,1,1.18,7,0.875,0,0,1,0,23
10/07/2023,Illinois Col.,0-1,90:00,1,1.17,3,0.75,0,1,0,0,13
10/14/2023,Augustana (IL),0-3,90:00,3,1.31,6,0.667,0,1,0,0,10
10/15/2023,Buena Vista,1-5,90:00,5,1.57,9,0.643,0,1,0,0,21
10/17/2023,Cornell College,0-0,90:00,0,1.47,5,1.0,0,0,1,1,19
10/21/2023,Beloit,2-1,90:00,1,1.44,2,0.667,1,0,0,0,10
10/25/2023,Monmouth (IL),1-6,90:00,6,1.71,5,0.455,0,1,0,0,29
10/28/2023,Lawrence,0-5,90:00,5,1.89,9,0.643,0,1,0,0,26
11/03/2023,Illinois Col.,0-1,110:00,1,1.82,4,0.8,0,1,0,0,11
11/04/2023,Lake Forest,2-0,90:00,0,1.73,1,1.0,1,0,0,1,15
Totals,,-,1820,35,1.73,99,0.739,6,9,5,5,315
Grinnell,,-,1820:00,22,1.09,80,0.784,9,6,5,8,235
