Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
09/01/2023,vs Coe,2-0,2,1,5,13,0.154,4,0.308,1-0,1,0-0,990
9/2/2023,at Eureka,3-2,3,2,8,13,0.231,5,0.385,2-1,1,0-0,987
09/05/2023,vs Dubuque,0-3,0,0,0,16,0.0,7,0.438,2-0,0,0-1,990
09/09/2023,at Central (IA),1-1,1,0,2,12,0.083,8,0.667,1-0,0,0-0,990
09/10/2023,vs Webster,0-0,0,0,0,17,0.0,6,0.353,1-0,0,0-0,986
09/15/2023,at Neb. Wesleyan,0-2,0,0,0,7,0.0,4,0.571,1-0,0,0-0,990
09/17/2023,vs Fontbonne,1-0,1,0,2,20,0.05,7,0.35,4-0,1,0-0,990
09/23/2023,at Lake Forest,3-4,3,2,8,11,0.273,6,0.545,7-0,0,0-0,990
09/24/2023,at Illinois Tech,1-1,1,0,2,17,0.059,11,0.647,0-0,0,0-0,990
09/27/2023,at Knox,1-2,1,1,3,12,0.083,4,0.333,2-1,0,0-0,964
09/30/2023,vs Ripon,1-1,1,1,3,23,0.043,8,0.348,0-0,0,0-0,990
10/07/2023,vs Illinois Col.,1-0,1,0,2,13,0.077,4,0.308,2-1,1,0-0,982
10/14/2023,vs Augustana (IL),3-0,3,2,8,10,0.3,9,0.9,2-0,1,0-1,990
10/15/2023,vs Buena Vista,5-1,5,5,15,21,0.238,14,0.667,0-0,1,0-1,990
10/17/2023,at Cornell College,0-0,0,0,0,19,0.0,5,0.263,1-0,0,0-1,990
10/21/2023,at Beloit,1-2,1,1,3,10,0.1,3,0.3,0-0,0,0-0,974
10/25/2023,vs Monmouth (IL),6-1,6,4,16,29,0.207,11,0.379,1-0,1,0-0,985
10/28/2023,vs Lawrence,5-0,5,4,14,26,0.192,14,0.538,2-0,1,0-0,990
11/03/2023,at Illinois Col.,1-0,1,1,3,11,0.091,5,0.455,2-0,1,0-0,1210
11/04/2023,at Lake Forest,0-2,0,0,0,15,0.0,1,0.067,0-1,0,0-0,980
Total,,35-22,35,24,94,315,0.111,136,0.432,31-4,9,0-4,19948
Opponent,,-,22,13,57,236,0.093,106,0.449,42-2,6,-,19974
